Epoch: [ 0/100], cls_loss: 3.4125, transfer_loss: 0.1643, kl_loss: 3518.3876, total_Loss: 5.2539, acc: 0.0749
Epoch: [ 1/100], cls_loss: 3.3499, transfer_loss: 0.1648, kl_loss: 3256.0575, total_Loss: 5.0603, acc: 0.0902
Epoch: [ 2/100], cls_loss: 3.2846, transfer_loss: 0.1659, kl_loss: 3030.7365, total_Loss: 4.8830, acc: 0.0788
Epoch: [ 3/100], cls_loss: 3.2141, transfer_loss: 0.1704, kl_loss: 2841.4884, total_Loss: 4.7201, acc: 0.1345
Epoch: [ 4/100], cls_loss: 3.1350, transfer_loss: 0.1740, kl_loss: 2714.5148, total_Loss: 4.5793, acc: 0.2055
Epoch: [ 5/100], cls_loss: 3.0509, transfer_loss: 0.1824, kl_loss: 2589.3355, total_Loss: 4.4368, acc: 0.2485
Epoch: [ 6/100], cls_loss: 2.9400, transfer_loss: 0.1860, kl_loss: 2500.9335, total_Loss: 4.2835, acc: 0.2964
Epoch: [ 7/100], cls_loss: 2.8175, transfer_loss: 0.1936, kl_loss: 2423.8843, total_Loss: 4.1262, acc: 0.3639
Epoch: [ 8/100], cls_loss: 2.6697, transfer_loss: 0.1977, kl_loss: 2353.4594, total_Loss: 3.9453, acc: 0.3781
Epoch: [ 9/100], cls_loss: 2.4919, transfer_loss: 0.2054, kl_loss: 2255.2817, total_Loss: 3.7222, acc: 0.4267
Epoch: [10/100], cls_loss: 2.3298, transfer_loss: 0.2082, kl_loss: 2208.6344, total_Loss: 3.5383, acc: 0.4388
Epoch: [11/100], cls_loss: 2.1589, transfer_loss: 0.2098, kl_loss: 2187.6442, total_Loss: 3.3577, acc: 0.4469
Epoch: [12/100], cls_loss: 2.0082, transfer_loss: 0.2139, kl_loss: 2122.4159, total_Loss: 3.1763, acc: 0.4757
Epoch: [13/100], cls_loss: 1.8190, transfer_loss: 0.2203, kl_loss: 2077.1496, total_Loss: 2.9678, acc: 0.4838
Epoch: [14/100], cls_loss: 1.6565, transfer_loss: 0.2231, kl_loss: 2029.5257, total_Loss: 2.7828, acc: 0.5140
Epoch: [15/100], cls_loss: 1.5080, transfer_loss: 0.2264, kl_loss: 1974.3064, total_Loss: 2.6083, acc: 0.5183
Epoch: [16/100], cls_loss: 1.3676, transfer_loss: 0.2265, kl_loss: 1977.1231, total_Loss: 2.4694, acc: 0.5346
Epoch: [17/100], cls_loss: 1.2740, transfer_loss: 0.2258, kl_loss: 1945.6627, total_Loss: 2.3598, acc: 0.5360
Epoch: [18/100], cls_loss: 1.1510, transfer_loss: 0.2283, kl_loss: 1915.6404, total_Loss: 2.2230, acc: 0.5382
Epoch: [19/100], cls_loss: 1.0461, transfer_loss: 0.2226, kl_loss: 1912.0599, total_Loss: 2.1135, acc: 0.5513
Epoch: [20/100], cls_loss: 0.9462, transfer_loss: 0.2237, kl_loss: 1875.8127, total_Loss: 1.9959, acc: 0.5524
Epoch: [21/100], cls_loss: 0.8921, transfer_loss: 0.2205, kl_loss: 1868.8316, total_Loss: 1.9368, acc: 0.5616
Epoch: [22/100], cls_loss: 0.8547, transfer_loss: 0.2251, kl_loss: 1823.6386, total_Loss: 1.8791, acc: 0.5676
Epoch: [23/100], cls_loss: 0.7990, transfer_loss: 0.2254, kl_loss: 1811.6500, total_Loss: 1.8176, acc: 0.5705
Epoch: [24/100], cls_loss: 0.7216, transfer_loss: 0.2223, kl_loss: 1813.5561, total_Loss: 1.7396, acc: 0.5825
Epoch: [25/100], cls_loss: 0.6962, transfer_loss: 0.2148, kl_loss: 1798.1721, total_Loss: 1.7027, acc: 0.5868
Epoch: [26/100], cls_loss: 0.6378, transfer_loss: 0.2207, kl_loss: 1765.5612, total_Loss: 1.6309, acc: 0.5935
Epoch: [27/100], cls_loss: 0.5934, transfer_loss: 0.2141, kl_loss: 1775.2788, total_Loss: 1.5881, acc: 0.5854
Epoch: [28/100], cls_loss: 0.5798, transfer_loss: 0.2233, kl_loss: 1709.7021, total_Loss: 1.5463, acc: 0.5985
Epoch: [29/100], cls_loss: 0.5443, transfer_loss: 0.2182, kl_loss: 1724.7409, total_Loss: 1.5158, acc: 0.5957
Epoch: [30/100], cls_loss: 0.5352, transfer_loss: 0.2260, kl_loss: 1682.4385, total_Loss: 1.4894, acc: 0.6006
Epoch: [31/100], cls_loss: 0.5256, transfer_loss: 0.2128, kl_loss: 1692.9085, total_Loss: 1.4785, acc: 0.5971
Epoch: [32/100], cls_loss: 0.4819, transfer_loss: 0.2165, kl_loss: 1676.8071, total_Loss: 1.4285, acc: 0.5989
