Epoch: [ 0/100], cls_loss: 3.4162, transfer_loss: 0.1540, kl_loss: 486.5138, total_Loss: 3.7365, acc: 0.0568
Epoch: [ 1/100], cls_loss: 3.3545, transfer_loss: 0.1544, kl_loss: 486.5445, total_Loss: 3.6750, acc: 0.0586
Epoch: [ 2/100], cls_loss: 3.2888, transfer_loss: 0.1545, kl_loss: 485.4936, total_Loss: 3.6087, acc: 0.0731
Epoch: [ 3/100], cls_loss: 3.2232, transfer_loss: 0.1526, kl_loss: 482.8723, total_Loss: 3.5410, acc: 0.1207
Epoch: [ 4/100], cls_loss: 3.1331, transfer_loss: 0.1534, kl_loss: 482.3381, total_Loss: 3.4510, acc: 0.1374
Epoch: [ 5/100], cls_loss: 3.0575, transfer_loss: 0.1548, kl_loss: 482.7992, total_Loss: 3.3763, acc: 0.2180
Epoch: [ 6/100], cls_loss: 2.9635, transfer_loss: 0.1519, kl_loss: 480.4336, total_Loss: 3.2796, acc: 0.2914
Epoch: [ 7/100], cls_loss: 2.8509, transfer_loss: 0.1528, kl_loss: 480.4931, total_Loss: 3.1676, acc: 0.3305
Epoch: [ 8/100], cls_loss: 2.7145, transfer_loss: 0.1546, kl_loss: 482.0135, total_Loss: 3.0329, acc: 0.3862
Epoch: [ 9/100], cls_loss: 2.5558, transfer_loss: 0.1549, kl_loss: 482.6971, total_Loss: 2.8746, acc: 0.4118
Epoch: [10/100], cls_loss: 2.3992, transfer_loss: 0.1551, kl_loss: 484.6148, total_Loss: 2.7190, acc: 0.4182
Epoch: [11/100], cls_loss: 2.2302, transfer_loss: 0.1567, kl_loss: 487.0772, total_Loss: 2.5521, acc: 0.4501
Epoch: [12/100], cls_loss: 2.0436, transfer_loss: 0.1584, kl_loss: 488.3041, total_Loss: 2.3669, acc: 0.4686
Epoch: [13/100], cls_loss: 1.8638, transfer_loss: 0.1597, kl_loss: 489.2879, total_Loss: 2.1883, acc: 0.4835
Epoch: [14/100], cls_loss: 1.7297, transfer_loss: 0.1625, kl_loss: 492.1773, total_Loss: 2.0570, acc: 0.5023
Epoch: [15/100], cls_loss: 1.5862, transfer_loss: 0.1606, kl_loss: 491.7059, total_Loss: 1.9124, acc: 0.5034
Epoch: [16/100], cls_loss: 1.4404, transfer_loss: 0.1649, kl_loss: 495.9488, total_Loss: 1.7708, acc: 0.5169
Epoch: [17/100], cls_loss: 1.2979, transfer_loss: 0.1655, kl_loss: 497.5434, total_Loss: 1.6294, acc: 0.5215
Epoch: [18/100], cls_loss: 1.1847, transfer_loss: 0.1657, kl_loss: 497.9517, total_Loss: 1.5165, acc: 0.5428
Epoch: [19/100], cls_loss: 1.0709, transfer_loss: 0.1705, kl_loss: 499.7237, total_Loss: 1.4060, acc: 0.5353
Epoch: [20/100], cls_loss: 1.0195, transfer_loss: 0.1677, kl_loss: 498.4011, total_Loss: 1.3525, acc: 0.5424
Epoch: [21/100], cls_loss: 0.9454, transfer_loss: 0.1686, kl_loss: 497.9027, total_Loss: 1.2786, acc: 0.5580
Epoch: [22/100], cls_loss: 0.8712, transfer_loss: 0.1704, kl_loss: 502.5927, total_Loss: 1.2077, acc: 0.5676
Epoch: [23/100], cls_loss: 0.7775, transfer_loss: 0.1720, kl_loss: 502.8547, total_Loss: 1.1150, acc: 0.5843
Epoch: [24/100], cls_loss: 0.7205, transfer_loss: 0.1713, kl_loss: 502.2774, total_Loss: 1.0573, acc: 0.5708
Epoch: [25/100], cls_loss: 0.6891, transfer_loss: 0.1725, kl_loss: 502.7947, total_Loss: 1.0268, acc: 0.5907
Epoch: [26/100], cls_loss: 0.6561, transfer_loss: 0.1724, kl_loss: 501.3073, total_Loss: 0.9930, acc: 0.5836
Epoch: [27/100], cls_loss: 0.6111, transfer_loss: 0.1729, kl_loss: 500.9719, total_Loss: 0.9481, acc: 0.5893
Epoch: [28/100], cls_loss: 0.5932, transfer_loss: 0.1720, kl_loss: 499.4834, total_Loss: 0.9290, acc: 0.5822
Epoch: [29/100], cls_loss: 0.5690, transfer_loss: 0.1729, kl_loss: 501.6908, total_Loss: 0.9062, acc: 0.5985
Epoch: [30/100], cls_loss: 0.5038, transfer_loss: 0.1746, kl_loss: 501.4504, total_Loss: 0.8418, acc: 0.5921
Epoch: [31/100], cls_loss: 0.5116, transfer_loss: 0.1733, kl_loss: 500.7124, total_Loss: 0.8485, acc: 0.6031
Epoch: [32/100], cls_loss: 0.4678, transfer_loss: 0.1732, kl_loss: 499.8491, total_Loss: 0.8043, acc: 0.5992
Epoch: [33/100], cls_loss: 0.4269, transfer_loss: 0.1713, kl_loss: 497.4295, total_Loss: 0.7613, acc: 0.5950
Epoch: [34/100], cls_loss: 0.4606, transfer_loss: 0.1715, kl_loss: 496.7557, total_Loss: 0.7947, acc: 0.6024
Epoch: [35/100], cls_loss: 0.3799, transfer_loss: 0.1734, kl_loss: 497.6953, total_Loss: 0.7154, acc: 0.5982
Epoch: [36/100], cls_loss: 0.3736, transfer_loss: 0.1719, kl_loss: 496.4318, total_Loss: 0.7078, acc: 0.6024
Epoch: [37/100], cls_loss: 0.3623, transfer_loss: 0.1726, kl_loss: 495.1598, total_Loss: 0.6962, acc: 0.5971
Epoch: [38/100], cls_loss: 0.4086, transfer_loss: 0.1715, kl_loss: 495.6264, total_Loss: 0.7422, acc: 0.6049
Epoch: [39/100], cls_loss: 0.3624, transfer_loss: 0.1728, kl_loss: 494.2779, total_Loss: 0.6959, acc: 0.6003
Epoch: [40/100], cls_loss: 0.3263, transfer_loss: 0.1729, kl_loss: 492.7897, total_Loss: 0.6591, acc: 0.6013
Epoch: [41/100], cls_loss: 0.3444, transfer_loss: 0.1741, kl_loss: 494.0153, total_Loss: 0.6784, acc: 0.6081
Epoch: [42/100], cls_loss: 0.3151, transfer_loss: 0.1730, kl_loss: 492.1455, total_Loss: 0.6477, acc: 0.6084
Epoch: [43/100], cls_loss: 0.3048, transfer_loss: 0.1713, kl_loss: 490.2228, total_Loss: 0.6355, acc: 0.6042
Epoch: [44/100], cls_loss: 0.2798, transfer_loss: 0.1708, kl_loss: 489.7324, total_Loss: 0.6101, acc: 0.6063
Epoch: [45/100], cls_loss: 0.3261, transfer_loss: 0.1714, kl_loss: 488.5150, total_Loss: 0.6560, acc: 0.6109
Epoch: [46/100], cls_loss: 0.2764, transfer_loss: 0.1713, kl_loss: 486.8209, total_Loss: 0.6054, acc: 0.6095
Epoch: [47/100], cls_loss: 0.2914, transfer_loss: 0.1689, kl_loss: 487.9568, total_Loss: 0.6198, acc: 0.6102
Epoch: [48/100], cls_loss: 0.2553, transfer_loss: 0.1696, kl_loss: 485.6680, total_Loss: 0.5829, acc: 0.6099
Epoch: [49/100], cls_loss: 0.2525, transfer_loss: 0.1701, kl_loss: 487.0781, total_Loss: 0.5811, acc: 0.6074
Epoch: [50/100], cls_loss: 0.2775, transfer_loss: 0.1663, kl_loss: 481.6972, total_Loss: 0.6014, acc: 0.6095
Epoch: [51/100], cls_loss: 0.2326, transfer_loss: 0.1693, kl_loss: 482.5076, total_Loss: 0.5585, acc: 0.6173
Epoch: [52/100], cls_loss: 0.2421, transfer_loss: 0.1681, kl_loss: 483.2266, total_Loss: 0.5678, acc: 0.6113
Epoch: [53/100], cls_loss: 0.2863, transfer_loss: 0.1698, kl_loss: 483.5738, total_Loss: 0.6130, acc: 0.6141
