Epoch: [ 0/100], cls_loss: 3.4199, transfer_loss: 0.1613, total_Loss: 3.5005, acc: 0.0557
Epoch: [ 1/100], cls_loss: 3.3556, transfer_loss: 0.1632, total_Loss: 3.4372, acc: 0.0703
Epoch: [ 2/100], cls_loss: 3.2891, transfer_loss: 0.1632, total_Loss: 3.3708, acc: 0.0934
Epoch: [ 3/100], cls_loss: 3.2199, transfer_loss: 0.1618, total_Loss: 3.3008, acc: 0.1175
Epoch: [ 4/100], cls_loss: 3.1366, transfer_loss: 0.1630, total_Loss: 3.2181, acc: 0.1491
Epoch: [ 5/100], cls_loss: 3.0543, transfer_loss: 0.1643, total_Loss: 3.1365, acc: 0.1899
Epoch: [ 6/100], cls_loss: 2.9522, transfer_loss: 0.1641, total_Loss: 3.0342, acc: 0.2815
Epoch: [ 7/100], cls_loss: 2.8382, transfer_loss: 0.1631, total_Loss: 2.9198, acc: 0.3383
Epoch: [ 8/100], cls_loss: 2.7054, transfer_loss: 0.1616, total_Loss: 2.7861, acc: 0.3823
Epoch: [ 9/100], cls_loss: 2.5430, transfer_loss: 0.1631, total_Loss: 2.6245, acc: 0.3958
Epoch: [10/100], cls_loss: 2.3637, transfer_loss: 0.1625, total_Loss: 2.4450, acc: 0.4129
Epoch: [11/100], cls_loss: 2.2071, transfer_loss: 0.1624, total_Loss: 2.2883, acc: 0.4317
Epoch: [12/100], cls_loss: 2.0038, transfer_loss: 0.1620, total_Loss: 2.0848, acc: 0.4604
Epoch: [13/100], cls_loss: 1.8468, transfer_loss: 0.1612, total_Loss: 1.9274, acc: 0.4689
Epoch: [14/100], cls_loss: 1.6587, transfer_loss: 0.1638, total_Loss: 1.7406, acc: 0.4956
Epoch: [15/100], cls_loss: 1.5118, transfer_loss: 0.1605, total_Loss: 1.5921, acc: 0.4927
Epoch: [16/100], cls_loss: 1.3995, transfer_loss: 0.1633, total_Loss: 1.4812, acc: 0.5193
Epoch: [17/100], cls_loss: 1.2780, transfer_loss: 0.1610, total_Loss: 1.3585, acc: 0.5304
Epoch: [18/100], cls_loss: 1.1347, transfer_loss: 0.1634, total_Loss: 1.2163, acc: 0.5215
Epoch: [19/100], cls_loss: 1.0168, transfer_loss: 0.1636, total_Loss: 1.0986, acc: 0.5339
Epoch: [20/100], cls_loss: 0.9740, transfer_loss: 0.1604, total_Loss: 1.0542, acc: 0.5410
Epoch: [21/100], cls_loss: 0.8531, transfer_loss: 0.1634, total_Loss: 0.9349, acc: 0.5495
Epoch: [22/100], cls_loss: 0.8300, transfer_loss: 0.1629, total_Loss: 0.9114, acc: 0.5520
Epoch: [23/100], cls_loss: 0.7475, transfer_loss: 0.1619, total_Loss: 0.8284, acc: 0.5616
Epoch: [24/100], cls_loss: 0.7457, transfer_loss: 0.1612, total_Loss: 0.8263, acc: 0.5680
Epoch: [25/100], cls_loss: 0.6567, transfer_loss: 0.1611, total_Loss: 0.7372, acc: 0.5708
Epoch: [26/100], cls_loss: 0.6133, transfer_loss: 0.1620, total_Loss: 0.6943, acc: 0.5722
Epoch: [27/100], cls_loss: 0.5462, transfer_loss: 0.1622, total_Loss: 0.6273, acc: 0.5701
Epoch: [28/100], cls_loss: 0.5625, transfer_loss: 0.1610, total_Loss: 0.6430, acc: 0.5804
Epoch: [29/100], cls_loss: 0.5441, transfer_loss: 0.1608, total_Loss: 0.6245, acc: 0.5861
Epoch: [30/100], cls_loss: 0.4835, transfer_loss: 0.1615, total_Loss: 0.5642, acc: 0.5985
Epoch: [31/100], cls_loss: 0.4720, transfer_loss: 0.1617, total_Loss: 0.5528, acc: 0.5967
Epoch: [32/100], cls_loss: 0.4480, transfer_loss: 0.1604, total_Loss: 0.5282, acc: 0.5868
Epoch: [33/100], cls_loss: 0.4337, transfer_loss: 0.1591, total_Loss: 0.5133, acc: 0.5957
Epoch: [34/100], cls_loss: 0.4016, transfer_loss: 0.1583, total_Loss: 0.4807, acc: 0.5996
