Epoch: [ 0/100], cls_loss: 3.4250, transfer_loss: 0.1626, kl_loss: 696.8114, vib_loss: 3.7734, total_Loss: 3.8547, acc: 0.0753
Epoch: [ 1/100], cls_loss: 3.3559, transfer_loss: 0.1635, kl_loss: 693.1099, vib_loss: 3.7025, total_Loss: 3.7842, acc: 0.0831
Epoch: [ 2/100], cls_loss: 3.2926, transfer_loss: 0.1633, kl_loss: 690.1371, vib_loss: 3.6376, total_Loss: 3.7193, acc: 0.0777
Epoch: [ 3/100], cls_loss: 3.2278, transfer_loss: 0.1629, kl_loss: 693.4176, vib_loss: 3.5746, total_Loss: 3.6560, acc: 0.0880
Epoch: [ 4/100], cls_loss: 3.1483, transfer_loss: 0.1614, kl_loss: 689.9909, vib_loss: 3.4933, total_Loss: 3.5740, acc: 0.1367
Epoch: [ 5/100], cls_loss: 3.0762, transfer_loss: 0.1629, kl_loss: 687.5653, vib_loss: 3.4200, total_Loss: 3.5015, acc: 0.2091
Epoch: [ 6/100], cls_loss: 2.9723, transfer_loss: 0.1626, kl_loss: 691.0862, vib_loss: 3.3178, total_Loss: 3.3991, acc: 0.3237
Epoch: [ 7/100], cls_loss: 2.8550, transfer_loss: 0.1629, kl_loss: 691.3215, vib_loss: 3.2007, total_Loss: 3.2821, acc: 0.3145
Epoch: [ 8/100], cls_loss: 2.7293, transfer_loss: 0.1627, kl_loss: 690.9597, vib_loss: 3.0748, total_Loss: 3.1562, acc: 0.3745
Epoch: [ 9/100], cls_loss: 2.5684, transfer_loss: 0.1615, kl_loss: 695.2600, vib_loss: 2.9160, total_Loss: 2.9967, acc: 0.4001
Epoch: [10/100], cls_loss: 2.3989, transfer_loss: 0.1633, kl_loss: 691.8170, vib_loss: 2.7449, total_Loss: 2.8265, acc: 0.4235
Epoch: [11/100], cls_loss: 2.2201, transfer_loss: 0.1627, kl_loss: 698.9270, vib_loss: 2.5696, total_Loss: 2.6510, acc: 0.4558
Epoch: [12/100], cls_loss: 2.0441, transfer_loss: 0.1634, kl_loss: 699.7579, vib_loss: 2.3939, total_Loss: 2.4756, acc: 0.4732
Epoch: [13/100], cls_loss: 1.8906, transfer_loss: 0.1634, kl_loss: 703.3581, vib_loss: 2.2423, total_Loss: 2.3240, acc: 0.4966
Epoch: [14/100], cls_loss: 1.6981, transfer_loss: 0.1626, kl_loss: 702.0414, vib_loss: 2.0491, total_Loss: 2.1305, acc: 0.4931
Epoch: [15/100], cls_loss: 1.5320, transfer_loss: 0.1639, kl_loss: 707.7642, vib_loss: 1.8859, total_Loss: 1.9678, acc: 0.5172
Epoch: [16/100], cls_loss: 1.4067, transfer_loss: 0.1643, kl_loss: 711.3298, vib_loss: 1.7623, total_Loss: 1.8445, acc: 0.5162
Epoch: [17/100], cls_loss: 1.3078, transfer_loss: 0.1638, kl_loss: 711.0142, vib_loss: 1.6633, total_Loss: 1.7452, acc: 0.5378
Epoch: [18/100], cls_loss: 1.1465, transfer_loss: 0.1621, kl_loss: 715.1598, vib_loss: 1.5040, total_Loss: 1.5851, acc: 0.5403
Epoch: [19/100], cls_loss: 1.0535, transfer_loss: 0.1634, kl_loss: 717.0172, vib_loss: 1.4120, total_Loss: 1.4937, acc: 0.5502
Epoch: [20/100], cls_loss: 1.0174, transfer_loss: 0.1633, kl_loss: 714.1791, vib_loss: 1.3745, total_Loss: 1.4562, acc: 0.5513
Epoch: [21/100], cls_loss: 0.8822, transfer_loss: 0.1636, kl_loss: 717.9872, vib_loss: 1.2412, total_Loss: 1.3230, acc: 0.5641
Epoch: [22/100], cls_loss: 0.8097, transfer_loss: 0.1624, kl_loss: 724.2241, vib_loss: 1.1718, total_Loss: 1.2530, acc: 0.5605
Epoch: [23/100], cls_loss: 0.7760, transfer_loss: 0.1620, kl_loss: 721.7142, vib_loss: 1.1369, total_Loss: 1.2179, acc: 0.5637
Epoch: [24/100], cls_loss: 0.7410, transfer_loss: 0.1621, kl_loss: 719.3168, vib_loss: 1.1007, total_Loss: 1.1817, acc: 0.5896
Epoch: [25/100], cls_loss: 0.6657, transfer_loss: 0.1619, kl_loss: 721.2968, vib_loss: 1.0263, total_Loss: 1.1073, acc: 0.5886
Epoch: [26/100], cls_loss: 0.6261, transfer_loss: 0.1641, kl_loss: 721.1069, vib_loss: 0.9866, total_Loss: 1.0687, acc: 0.5875
Epoch: [27/100], cls_loss: 0.6188, transfer_loss: 0.1637, kl_loss: 720.0161, vib_loss: 0.9788, total_Loss: 1.0606, acc: 0.5953
Epoch: [28/100], cls_loss: 0.5554, transfer_loss: 0.1624, kl_loss: 721.9558, vib_loss: 0.9163, total_Loss: 0.9975, acc: 0.5935
Epoch: [29/100], cls_loss: 0.5301, transfer_loss: 0.1609, kl_loss: 720.4268, vib_loss: 0.8904, total_Loss: 0.9708, acc: 0.5925
Epoch: [30/100], cls_loss: 0.4935, transfer_loss: 0.1635, kl_loss: 716.3957, vib_loss: 0.8517, total_Loss: 0.9334, acc: 0.5875
Epoch: [31/100], cls_loss: 0.4947, transfer_loss: 0.1616, kl_loss: 716.5544, vib_loss: 0.8530, total_Loss: 0.9338, acc: 0.5907
Epoch: [32/100], cls_loss: 0.4367, transfer_loss: 0.1626, kl_loss: 718.1879, vib_loss: 0.7958, total_Loss: 0.8771, acc: 0.6084
Epoch: [33/100], cls_loss: 0.4201, transfer_loss: 0.1607, kl_loss: 717.4610, vib_loss: 0.7789, total_Loss: 0.8592, acc: 0.6035
Epoch: [34/100], cls_loss: 0.4088, transfer_loss: 0.1594, kl_loss: 714.8286, vib_loss: 0.7662, total_Loss: 0.8459, acc: 0.5939
Epoch: [35/100], cls_loss: 0.3760, transfer_loss: 0.1612, kl_loss: 715.4483, vib_loss: 0.7338, total_Loss: 0.8144, acc: 0.6067
Epoch: [36/100], cls_loss: 0.3952, transfer_loss: 0.1605, kl_loss: 715.3740, vib_loss: 0.7529, total_Loss: 0.8332, acc: 0.6077
