Epoch: [ 0/100], transfer_loss: 0.1640, kl_loss: 2081.4803, vib_loss: 5.9442, total_Loss: 6.0262, acc: 0.4512
Epoch: [ 1/100], transfer_loss: 0.1640, kl_loss: 1911.1889, vib_loss: 4.9111, total_Loss: 4.9931, acc: 0.4260
Epoch: [ 2/100], transfer_loss: 0.1697, kl_loss: 1721.3457, vib_loss: 4.8147, total_Loss: 4.8995, acc: 0.4771
Epoch: [ 3/100], transfer_loss: 0.1745, kl_loss: 1581.6715, vib_loss: 4.6729, total_Loss: 4.7601, acc: 0.5247
Epoch: [ 4/100], transfer_loss: 0.1753, kl_loss: 1522.9854, vib_loss: 4.1576, total_Loss: 4.2452, acc: 0.5414
Epoch: [ 5/100], transfer_loss: 0.1805, kl_loss: 1437.4961, vib_loss: 4.3066, total_Loss: 4.3968, acc: 0.5481
Epoch: [ 6/100], transfer_loss: 0.1892, kl_loss: 1345.7614, vib_loss: 4.3446, total_Loss: 4.4392, acc: 0.5644
Epoch: [ 7/100], transfer_loss: 0.1886, kl_loss: 1324.8748, vib_loss: 4.2744, total_Loss: 4.3687, acc: 0.5563
Epoch: [ 8/100], transfer_loss: 0.1954, kl_loss: 1250.9749, vib_loss: 4.0505, total_Loss: 4.1482, acc: 0.5669
Epoch: [ 9/100], transfer_loss: 0.2020, kl_loss: 1204.4352, vib_loss: 4.0247, total_Loss: 4.1257, acc: 0.5740
Epoch: [10/100], transfer_loss: 0.1975, kl_loss: 1177.3713, vib_loss: 3.8042, total_Loss: 3.9029, acc: 0.5797
Epoch: [11/100], transfer_loss: 0.2020, kl_loss: 1139.7609, vib_loss: 3.9405, total_Loss: 4.0415, acc: 0.5701
Epoch: [12/100], transfer_loss: 0.2024, kl_loss: 1102.4572, vib_loss: 3.9338, total_Loss: 4.0350, acc: 0.5740
Epoch: [13/100], transfer_loss: 0.2069, kl_loss: 1070.2162, vib_loss: 3.9027, total_Loss: 4.0062, acc: 0.5911
Epoch: [14/100], transfer_loss: 0.2072, kl_loss: 1043.8092, vib_loss: 3.9163, total_Loss: 4.0199, acc: 0.5953
Epoch: [15/100], transfer_loss: 0.2119, kl_loss: 1007.4774, vib_loss: 3.7942, total_Loss: 3.9002, acc: 0.5992
Epoch: [16/100], transfer_loss: 0.2069, kl_loss: 1000.9925, vib_loss: 3.8453, total_Loss: 3.9487, acc: 0.6042
Epoch: [17/100], transfer_loss: 0.2080, kl_loss: 958.9167, vib_loss: 3.8845, total_Loss: 3.9885, acc: 0.5928
