Epoch: [00/100], transfer_loss: 0.1640, kl_loss: 2101.0763, vib_loss: 3.9019, total_Loss: 3.9839, acc: 0.5824
Epoch: [01/100], transfer_loss: 0.1643, kl_loss: 2130.5866, vib_loss: 3.1242, total_Loss: 3.2064, acc: 0.6491
Epoch: [02/100], transfer_loss: 0.1636, kl_loss: 2070.6115, vib_loss: 2.8213, total_Loss: 2.9032, acc: 0.6893
Epoch: [03/100], transfer_loss: 0.1653, kl_loss: 2018.4055, vib_loss: 2.7823, total_Loss: 2.8650, acc: 0.6918
Epoch: [04/100], transfer_loss: 0.1648, kl_loss: 1979.2204, vib_loss: 2.7139, total_Loss: 2.7963, acc: 0.7208
Epoch: [05/100], transfer_loss: 0.1654, kl_loss: 1942.6179, vib_loss: 2.6414, total_Loss: 2.7241, acc: 0.7358
Epoch: [06/100], transfer_loss: 0.1651, kl_loss: 1937.3817, vib_loss: 2.5218, total_Loss: 2.6044, acc: 0.7321
Epoch: [07/100], transfer_loss: 0.1632, kl_loss: 1946.8168, vib_loss: 2.5503, total_Loss: 2.6319, acc: 0.7308
Epoch: [08/100], transfer_loss: 0.1660, kl_loss: 1900.3990, vib_loss: 2.4610, total_Loss: 2.5440, acc: 0.7447
Epoch: [09/100], transfer_loss: 0.1644, kl_loss: 1892.4588, vib_loss: 2.4227, total_Loss: 2.5049, acc: 0.7447
Epoch: [10/100], transfer_loss: 0.1660, kl_loss: 1892.2985, vib_loss: 2.3717, total_Loss: 2.4547, acc: 0.7421
Epoch: [11/100], transfer_loss: 0.1633, kl_loss: 1875.9811, vib_loss: 2.2999, total_Loss: 2.3816, acc: 0.7371
Epoch: [12/100], transfer_loss: 0.1649, kl_loss: 1835.1043, vib_loss: 2.3412, total_Loss: 2.4236, acc: 0.7447
Epoch: [13/100], transfer_loss: 0.1650, kl_loss: 1844.8928, vib_loss: 2.3467, total_Loss: 2.4292, acc: 0.7333
Epoch: [14/100], transfer_loss: 0.1648, kl_loss: 1809.6790, vib_loss: 2.2929, total_Loss: 2.3753, acc: 0.7484
Epoch: [15/100], transfer_loss: 0.1655, kl_loss: 1802.8262, vib_loss: 2.2649, total_Loss: 2.3477, acc: 0.7484
Epoch: [16/100], transfer_loss: 0.1656, kl_loss: 1801.2868, vib_loss: 2.2338, total_Loss: 2.3166, acc: 0.7560
Epoch: [17/100], transfer_loss: 0.1628, kl_loss: 1796.0176, vib_loss: 2.2312, total_Loss: 2.3126, acc: 0.7585
Epoch: [18/100], transfer_loss: 0.1644, kl_loss: 1769.6085, vib_loss: 2.2343, total_Loss: 2.3165, acc: 0.7547
Epoch: [19/100], transfer_loss: 0.1662, kl_loss: 1781.1398, vib_loss: 2.1820, total_Loss: 2.2651, acc: 0.7585
Epoch: [20/100], transfer_loss: 0.1634, kl_loss: 1757.3541, vib_loss: 2.2005, total_Loss: 2.2822, acc: 0.7459
Epoch: [21/100], transfer_loss: 0.1648, kl_loss: 1738.0218, vib_loss: 2.1717, total_Loss: 2.2541, acc: 0.7585
Epoch: [22/100], transfer_loss: 0.1653, kl_loss: 1715.7760, vib_loss: 2.1968, total_Loss: 2.2795, acc: 0.7648
Epoch: [23/100], transfer_loss: 0.1648, kl_loss: 1706.9699, vib_loss: 2.1593, total_Loss: 2.2417, acc: 0.7509
Epoch: [24/100], transfer_loss: 0.1644, kl_loss: 1701.9641, vib_loss: 2.1559, total_Loss: 2.2381, acc: 0.7396
Epoch: [25/100], transfer_loss: 0.1648, kl_loss: 1705.3179, vib_loss: 2.1231, total_Loss: 2.2055, acc: 0.7434
Epoch: [26/100], transfer_loss: 0.1640, kl_loss: 1706.4900, vib_loss: 2.1433, total_Loss: 2.2253, acc: 0.7547
Epoch: [27/100], transfer_loss: 0.1650, kl_loss: 1666.1261, vib_loss: 2.1341, total_Loss: 2.2166, acc: 0.7497
Epoch: [28/100], transfer_loss: 0.1655, kl_loss: 1674.3334, vib_loss: 2.0971, total_Loss: 2.1799, acc: 0.7421
Epoch: [29/100], transfer_loss: 0.1651, kl_loss: 1657.0557, vib_loss: 2.0715, total_Loss: 2.1541, acc: 0.7547
Epoch: [30/100], transfer_loss: 0.1647, kl_loss: 1639.8049, vib_loss: 2.0972, total_Loss: 2.1795, acc: 0.7597
Epoch: [31/100], transfer_loss: 0.1644, kl_loss: 1631.9929, vib_loss: 2.0802, total_Loss: 2.1624, acc: 0.7560
Epoch: [32/100], transfer_loss: 0.1637, kl_loss: 1649.5646, vib_loss: 2.1373, total_Loss: 2.2192, acc: 0.7472
Epoch: [33/100], transfer_loss: 0.1631, kl_loss: 1642.6327, vib_loss: 2.0930, total_Loss: 2.1746, acc: 0.7447
Epoch: [34/100], transfer_loss: 0.1662, kl_loss: 1633.8837, vib_loss: 2.0960, total_Loss: 2.1791, acc: 0.7572
Epoch: [35/100], transfer_loss: 0.1660, kl_loss: 1638.2517, vib_loss: 2.0745, total_Loss: 2.1575, acc: 0.7509
Epoch: [36/100], transfer_loss: 0.1641, kl_loss: 1613.1323, vib_loss: 2.0599, total_Loss: 2.1420, acc: 0.7547
Epoch: [37/100], transfer_loss: 0.1657, kl_loss: 1601.4792, vib_loss: 2.0835, total_Loss: 2.1663, acc: 0.7459
Epoch: [38/100], transfer_loss: 0.1659, kl_loss: 1620.9875, vib_loss: 2.0141, total_Loss: 2.0970, acc: 0.7522
Epoch: [39/100], transfer_loss: 0.1654, kl_loss: 1589.8764, vib_loss: 2.0545, total_Loss: 2.1372, acc: 0.7535
Epoch: [40/100], transfer_loss: 0.1636, kl_loss: 1621.3493, vib_loss: 2.0542, total_Loss: 2.1360, acc: 0.7522
Epoch: [41/100], transfer_loss: 0.1645, kl_loss: 1611.4935, vib_loss: 2.0261, total_Loss: 2.1084, acc: 0.7535
Epoch: [42/100], transfer_loss: 0.1653, kl_loss: 1573.5722, vib_loss: 2.0604, total_Loss: 2.1431, acc: 0.7497
Epoch: [43/100], transfer_loss: 0.1643, kl_loss: 1583.8152, vib_loss: 2.0107, total_Loss: 2.0928, acc: 0.7547
Epoch: [44/100], transfer_loss: 0.1642, kl_loss: 1577.9927, vib_loss: 1.9804, total_Loss: 2.0625, acc: 0.7560
Epoch: [45/100], transfer_loss: 0.1649, kl_loss: 1563.1726, vib_loss: 2.0466, total_Loss: 2.1291, acc: 0.7547
Epoch: [46/100], transfer_loss: 0.1639, kl_loss: 1578.5747, vib_loss: 1.9845, total_Loss: 2.0665, acc: 0.7535
Epoch: [47/100], transfer_loss: 0.1651, kl_loss: 1558.2067, vib_loss: 1.9824, total_Loss: 2.0649, acc: 0.7597
Epoch: [48/100], transfer_loss: 0.1638, kl_loss: 1561.7604, vib_loss: 1.9712, total_Loss: 2.0531, acc: 0.7585
Epoch: [49/100], transfer_loss: 0.1655, kl_loss: 1553.7713, vib_loss: 1.9668, total_Loss: 2.0495, acc: 0.7459
Epoch: [50/100], transfer_loss: 0.1640, kl_loss: 1537.0248, vib_loss: 1.9610, total_Loss: 2.0430, acc: 0.7610
Epoch: [51/100], transfer_loss: 0.1643, kl_loss: 1563.7135, vib_loss: 1.9435, total_Loss: 2.0257, acc: 0.7610
Epoch: [52/100], transfer_loss: 0.1654, kl_loss: 1545.5377, vib_loss: 1.9483, total_Loss: 2.0310, acc: 0.7597
Epoch: [53/100], transfer_loss: 0.1661, kl_loss: 1545.0606, vib_loss: 1.9622, total_Loss: 2.0452, acc: 0.7547
Epoch: [54/100], transfer_loss: 0.1645, kl_loss: 1543.3389, vib_loss: 1.9824, total_Loss: 2.0646, acc: 0.7509
Epoch: [55/100], transfer_loss: 0.1640, kl_loss: 1529.1577, vib_loss: 1.9422, total_Loss: 2.0243, acc: 0.7484
Epoch: [56/100], transfer_loss: 0.1643, kl_loss: 1513.7482, vib_loss: 1.9514, total_Loss: 2.0336, acc: 0.7560
Epoch: [57/100], transfer_loss: 0.1663, kl_loss: 1532.6922, vib_loss: 1.9013, total_Loss: 1.9845, acc: 0.7547
Epoch: [58/100], transfer_loss: 0.1647, kl_loss: 1525.9611, vib_loss: 1.9035, total_Loss: 1.9859, acc: 0.7648
Epoch: [59/100], transfer_loss: 0.1650, kl_loss: 1535.8216, vib_loss: 1.9447, total_Loss: 2.0272, acc: 0.7585
Epoch: [60/100], transfer_loss: 0.1648, kl_loss: 1509.9096, vib_loss: 1.9167, total_Loss: 1.9992, acc: 0.7660
Epoch: [61/100], transfer_loss: 0.1646, kl_loss: 1538.3867, vib_loss: 1.9501, total_Loss: 2.0324, acc: 0.7723
Epoch: [62/100], transfer_loss: 0.1643, kl_loss: 1507.4379, vib_loss: 1.9149, total_Loss: 1.9970, acc: 0.7711
Epoch: [63/100], transfer_loss: 0.1643, kl_loss: 1536.0754, vib_loss: 1.9306, total_Loss: 2.0127, acc: 0.7686
Epoch: [64/100], transfer_loss: 0.1630, kl_loss: 1526.4749, vib_loss: 1.9469, total_Loss: 2.0283, acc: 0.7761
Epoch: [65/100], transfer_loss: 0.1643, kl_loss: 1513.4507, vib_loss: 1.9462, total_Loss: 2.0283, acc: 0.7610
Epoch: [66/100], transfer_loss: 0.1621, kl_loss: 1501.3201, vib_loss: 1.9116, total_Loss: 1.9927, acc: 0.7711
Epoch: [67/100], transfer_loss: 0.1651, kl_loss: 1506.0939, vib_loss: 1.8849, total_Loss: 1.9674, acc: 0.7686
Epoch: [68/100], transfer_loss: 0.1638, kl_loss: 1514.9882, vib_loss: 1.9660, total_Loss: 2.0478, acc: 0.7648
Epoch: [69/100], transfer_loss: 0.1650, kl_loss: 1491.1980, vib_loss: 1.9209, total_Loss: 2.0034, acc: 0.7547
Epoch: [70/100], transfer_loss: 0.1641, kl_loss: 1507.2794, vib_loss: 1.8773, total_Loss: 1.9593, acc: 0.7560
Epoch: [71/100], transfer_loss: 0.1654, kl_loss: 1511.0517, vib_loss: 1.9253, total_Loss: 2.0081, acc: 0.7547
Epoch: [72/100], transfer_loss: 0.1641, kl_loss: 1494.2875, vib_loss: 1.9270, total_Loss: 2.0090, acc: 0.7597
Epoch: [73/100], transfer_loss: 0.1633, kl_loss: 1477.8484, vib_loss: 1.8847, total_Loss: 1.9663, acc: 0.7522
Epoch: [74/100], transfer_loss: 0.1641, kl_loss: 1461.1039, vib_loss: 1.9198, total_Loss: 2.0019, acc: 0.7610
Epoch: [75/100], transfer_loss: 0.1646, kl_loss: 1488.8608, vib_loss: 1.8477, total_Loss: 1.9300, acc: 0.7585
Epoch: [76/100], transfer_loss: 0.1651, kl_loss: 1500.2051, vib_loss: 1.8489, total_Loss: 1.9315, acc: 0.7635
Epoch: [77/100], transfer_loss: 0.1647, kl_loss: 1482.7250, vib_loss: 1.8782, total_Loss: 1.9606, acc: 0.7673
Epoch: [78/100], transfer_loss: 0.1640, kl_loss: 1485.9713, vib_loss: 1.8598, total_Loss: 1.9418, acc: 0.7711
Epoch: [79/100], transfer_loss: 0.1645, kl_loss: 1469.6393, vib_loss: 1.9044, total_Loss: 1.9867, acc: 0.7673
Epoch: [80/100], transfer_loss: 0.1635, kl_loss: 1508.3200, vib_loss: 1.8564, total_Loss: 1.9382, acc: 0.7635
Epoch: [81/100], transfer_loss: 0.1637, kl_loss: 1461.4394, vib_loss: 1.8678, total_Loss: 1.9497, acc: 0.7698
Epoch: [82/100], transfer_loss: 0.1635, kl_loss: 1462.7305, vib_loss: 1.9167, total_Loss: 1.9985, acc: 0.7736
Epoch: [83/100], transfer_loss: 0.1642, kl_loss: 1462.7271, vib_loss: 1.8647, total_Loss: 1.9467, acc: 0.7849
Epoch: [84/100], transfer_loss: 0.1633, kl_loss: 1489.2829, vib_loss: 1.8898, total_Loss: 1.9714, acc: 0.7748
Epoch: [85/100], transfer_loss: 0.1639, kl_loss: 1477.5076, vib_loss: 1.8627, total_Loss: 1.9447, acc: 0.7648
Epoch: [86/100], transfer_loss: 0.1633, kl_loss: 1460.7941, vib_loss: 1.8505, total_Loss: 1.9322, acc: 0.7698
Epoch: [87/100], transfer_loss: 0.1634, kl_loss: 1467.7416, vib_loss: 1.8285, total_Loss: 1.9102, acc: 0.7635
Epoch: [88/100], transfer_loss: 0.1650, kl_loss: 1471.6914, vib_loss: 1.8293, total_Loss: 1.9118, acc: 0.7686
