Epoch: [00/100], transfer_loss: 0.1668, kl_loss: 2047.3273, vib_loss: 3.8523, total_Loss: 3.9357, acc: 0.3674
Epoch: [01/100], transfer_loss: 0.1673, kl_loss: 2124.9449, vib_loss: 2.6665, total_Loss: 2.7501, acc: 0.5350
Epoch: [02/100], transfer_loss: 0.1684, kl_loss: 2116.8980, vib_loss: 2.3591, total_Loss: 2.4434, acc: 0.5896
Epoch: [03/100], transfer_loss: 0.1685, kl_loss: 2093.6523, vib_loss: 2.1653, total_Loss: 2.2496, acc: 0.5939
Epoch: [04/100], transfer_loss: 0.1697, kl_loss: 2077.9575, vib_loss: 2.0857, total_Loss: 2.1706, acc: 0.6010
Epoch: [05/100], transfer_loss: 0.1675, kl_loss: 2012.7222, vib_loss: 2.0771, total_Loss: 2.1609, acc: 0.6006
Epoch: [06/100], transfer_loss: 0.1692, kl_loss: 2015.0440, vib_loss: 1.9865, total_Loss: 2.0711, acc: 0.6074
Epoch: [07/100], transfer_loss: 0.1680, kl_loss: 1989.5296, vib_loss: 1.9502, total_Loss: 2.0342, acc: 0.6131
Epoch: [08/100], transfer_loss: 0.1698, kl_loss: 1973.0903, vib_loss: 1.9159, total_Loss: 2.0008, acc: 0.6173
Epoch: [09/100], transfer_loss: 0.1706, kl_loss: 1957.6251, vib_loss: 1.8799, total_Loss: 1.9652, acc: 0.6195
Epoch: [10/100], transfer_loss: 0.1708, kl_loss: 1967.0849, vib_loss: 1.8582, total_Loss: 1.9436, acc: 0.6177
Epoch: [11/100], transfer_loss: 0.1682, kl_loss: 1945.9678, vib_loss: 1.8221, total_Loss: 1.9061, acc: 0.6251
Epoch: [12/100], transfer_loss: 0.1682, kl_loss: 1921.9697, vib_loss: 1.8075, total_Loss: 1.8915, acc: 0.6177
Epoch: [13/100], transfer_loss: 0.1685, kl_loss: 1928.6821, vib_loss: 1.8126, total_Loss: 1.8968, acc: 0.6276
Epoch: [14/100], transfer_loss: 0.1669, kl_loss: 1900.5459, vib_loss: 1.8104, total_Loss: 1.8939, acc: 0.6269
