Epoch: [00/100], transfer_loss: 0.1650, kl_loss: 2053.7415, vib_loss: 3.8818, total_Loss: 3.9643, acc: 0.7082
Epoch: [1/100], transfer_loss: 0.1703, kl_loss: 2080.3494, vib_loss: 2.6566, total_Loss: 2.7418, acc: 0.8239
Epoch: [02/100], transfer_loss: 0.1684, kl_loss: 2066.9331, vib_loss: 2.3338, total_Loss: 2.4180, acc: 0.8428
Epoch: [03/100], transfer_loss: 0.1705, kl_loss: 2065.3141, vib_loss: 2.1999, total_Loss: 2.2851, acc: 0.8742
Epoch: [04/100], transfer_loss: 0.1719, kl_loss: 2028.2522, vib_loss: 2.0782, total_Loss: 2.1641, acc: 0.8881
Epoch: [05/100], transfer_loss: 0.1708, kl_loss: 2035.6082, vib_loss: 1.9873, total_Loss: 2.0726, acc: 0.8956
Epoch: [06/100], transfer_loss: 0.1720, kl_loss: 1982.6519, vib_loss: 1.9565, total_Loss: 2.0424, acc: 0.8931
Epoch: [07/100], transfer_loss: 0.1708, kl_loss: 1980.2650, vib_loss: 1.9156, total_Loss: 2.0010, acc: 0.8981
Epoch: [08/100], transfer_loss: 0.1715, kl_loss: 1965.3797, vib_loss: 1.9005, total_Loss: 1.9863, acc: 0.9006
Epoch: [09/100], transfer_loss: 0.1721, kl_loss: 1939.4199, vib_loss: 1.8473, total_Loss: 1.9333, acc: 0.9019
Epoch: [10/100], transfer_loss: 0.1714, kl_loss: 1948.1947, vib_loss: 1.8150, total_Loss: 1.9007, acc: 0.9082
Epoch: [11/100], transfer_loss: 0.1704, kl_loss: 1910.8323, vib_loss: 1.7998, total_Loss: 1.8850, acc: 0.9082
Epoch: [12/100], transfer_loss: 0.1701, kl_loss: 1921.4854, vib_loss: 1.8054, total_Loss: 1.8905, acc: 0.9119
Epoch: [13/100], transfer_loss: 0.1710, kl_loss: 1911.3069, vib_loss: 1.7631, total_Loss: 1.8486, acc: 0.9132
Epoch: [14/100], transfer_loss: 0.1707, kl_loss: 1882.6088, vib_loss: 1.7640, total_Loss: 1.8494, acc: 0.9132
Epoch: [15/100], transfer_loss: 0.1705, kl_loss: 1871.3324, vib_loss: 1.7464, total_Loss: 1.8317, acc: 0.9082
Epoch: [16/100], transfer_loss: 0.1710, kl_loss: 1859.9744, vib_loss: 1.7210, total_Loss: 1.8065, acc: 0.9132
Epoch: [17/100], transfer_loss: 0.1698, kl_loss: 1871.4974, vib_loss: 1.7314, total_Loss: 1.8163, acc: 0.9132
Epoch: [18/100], transfer_loss: 0.1734, kl_loss: 1830.4403, vib_loss: 1.7220, total_Loss: 1.8087, acc: 0.9132
Epoch: [19/100], transfer_loss: 0.1719, kl_loss: 1837.2933, vib_loss: 1.6884, total_Loss: 1.7743, acc: 0.9094
Epoch: [20/100], transfer_loss: 0.1715, kl_loss: 1860.8091, vib_loss: 1.6626, total_Loss: 1.7484, acc: 0.9182
Epoch: [21/100], transfer_loss: 0.1679, kl_loss: 1820.7476, vib_loss: 1.6875, total_Loss: 1.7715, acc: 0.9170
Epoch: [22/100], transfer_loss: 0.1726, kl_loss: 1834.4923, vib_loss: 1.6931, total_Loss: 1.7794, acc: 0.9145
Epoch: [23/100], transfer_loss: 0.1713, kl_loss: 1793.3550, vib_loss: 1.6959, total_Loss: 1.7816, acc: 0.9208
Epoch: [24/100], transfer_loss: 0.1697, kl_loss: 1806.3961, vib_loss: 1.6296, total_Loss: 1.7145, acc: 0.9233
Epoch: [25/100], transfer_loss: 0.1712, kl_loss: 1797.3115, vib_loss: 1.6431, total_Loss: 1.7287, acc: 0.9245
Epoch: [26/100], transfer_loss: 0.1698, kl_loss: 1798.7736, vib_loss: 1.6351, total_Loss: 1.7200, acc: 0.9233
Epoch: [27/100], transfer_loss: 0.1703, kl_loss: 1784.3764, vib_loss: 1.6339, total_Loss: 1.7190, acc: 0.9245
Epoch: [28/100], transfer_loss: 0.1705, kl_loss: 1766.6104, vib_loss: 1.6470, total_Loss: 1.7322, acc: 0.9258
Epoch: [29/100], transfer_loss: 0.1703, kl_loss: 1760.0806, vib_loss: 1.6151, total_Loss: 1.7003, acc: 0.9296
Epoch: [30/100], transfer_loss: 0.1696, kl_loss: 1759.7785, vib_loss: 1.5967, total_Loss: 1.6816, acc: 0.9270
Epoch: [31/100], transfer_loss: 0.1714, kl_loss: 1737.2037, vib_loss: 1.6364, total_Loss: 1.7221, acc: 0.9208
Epoch: [32/100], transfer_loss: 0.1697, kl_loss: 1761.1040, vib_loss: 1.6007, total_Loss: 1.6855, acc: 0.9270
Epoch: [33/100], transfer_loss: 0.1712, kl_loss: 1719.4326, vib_loss: 1.6027, total_Loss: 1.6883, acc: 0.9245
Epoch: [34/100], transfer_loss: 0.1687, kl_loss: 1762.3922, vib_loss: 1.5869, total_Loss: 1.6713, acc: 0.9208
Epoch: [35/100], transfer_loss: 0.1694, kl_loss: 1733.5149, vib_loss: 1.5707, total_Loss: 1.6554, acc: 0.9258
Epoch: [36/100], transfer_loss: 0.1737, kl_loss: 1728.9533, vib_loss: 1.6066, total_Loss: 1.6935, acc: 0.9283
Epoch: [37/100], transfer_loss: 0.1710, kl_loss: 1734.6493, vib_loss: 1.5999, total_Loss: 1.6854, acc: 0.9283
Epoch: [38/100], transfer_loss: 0.1712, kl_loss: 1715.5080, vib_loss: 1.5698, total_Loss: 1.6554, acc: 0.9296
Epoch: [39/100], transfer_loss: 0.1721, kl_loss: 1733.2590, vib_loss: 1.5890, total_Loss: 1.6750, acc: 0.9283
Epoch: [40/100], transfer_loss: 0.1712, kl_loss: 1696.6705, vib_loss: 1.5896, total_Loss: 1.6752, acc: 0.9283
Epoch: [41/100], transfer_loss: 0.1706, kl_loss: 1689.7095, vib_loss: 1.5529, total_Loss: 1.6382, acc: 0.9321
Epoch: [42/100], transfer_loss: 0.1686, kl_loss: 1671.1405, vib_loss: 1.5491, total_Loss: 1.6334, acc: 0.9283
Epoch: [43/100], transfer_loss: 0.1717, kl_loss: 1697.6352, vib_loss: 1.5494, total_Loss: 1.6352, acc: 0.9270
Epoch: [44/100], transfer_loss: 0.1683, kl_loss: 1681.5803, vib_loss: 1.5731, total_Loss: 1.6573, acc: 0.9308
Epoch: [45/100], transfer_loss: 0.1710, kl_loss: 1675.1413, vib_loss: 1.5444, total_Loss: 1.6300, acc: 0.9296
Epoch: [46/100], transfer_loss: 0.1684, kl_loss: 1684.2617, vib_loss: 1.5685, total_Loss: 1.6527, acc: 0.9308
Epoch: [47/100], transfer_loss: 0.1712, kl_loss: 1657.3565, vib_loss: 1.5586, total_Loss: 1.6442, acc: 0.9308
Epoch: [48/100], transfer_loss: 0.1702, kl_loss: 1669.9465, vib_loss: 1.5244, total_Loss: 1.6095, acc: 0.9308
Epoch: [49/100], transfer_loss: 0.1705, kl_loss: 1663.0597, vib_loss: 1.5303, total_Loss: 1.6155, acc: 0.9308
Epoch: [50/100], transfer_loss: 0.1710, kl_loss: 1672.1785, vib_loss: 1.5490, total_Loss: 1.6344, acc: 0.9308
Epoch: [51/100], transfer_loss: 0.1710, kl_loss: 1662.1961, vib_loss: 1.5217, total_Loss: 1.6072, acc: 0.9333
Epoch: [52/100], transfer_loss: 0.1717, kl_loss: 1646.8664, vib_loss: 1.5327, total_Loss: 1.6185, acc: 0.9308
Epoch: [53/100], transfer_loss: 0.1709, kl_loss: 1661.2627, vib_loss: 1.5163, total_Loss: 1.6017, acc: 0.9321
Epoch: [54/100], transfer_loss: 0.1719, kl_loss: 1626.2419, vib_loss: 1.5434, total_Loss: 1.6294, acc: 0.9283
Epoch: [55/100], transfer_loss: 0.1702, kl_loss: 1652.9148, vib_loss: 1.5179, total_Loss: 1.6030, acc: 0.9333
Epoch: [56/100], transfer_loss: 0.1692, kl_loss: 1647.6031, vib_loss: 1.5082, total_Loss: 1.5928, acc: 0.9333
Epoch: [57/100], transfer_loss: 0.1714, kl_loss: 1629.8695, vib_loss: 1.5016, total_Loss: 1.5873, acc: 0.9333
Epoch: [58/100], transfer_loss: 0.1694, kl_loss: 1638.9086, vib_loss: 1.5235, total_Loss: 1.6082, acc: 0.9321
Epoch: [59/100], transfer_loss: 0.1702, kl_loss: 1633.4889, vib_loss: 1.4852, total_Loss: 1.5703, acc: 0.9358
Epoch: [60/100], transfer_loss: 0.1701, kl_loss: 1616.3533, vib_loss: 1.5265, total_Loss: 1.6115, acc: 0.9384
Epoch: [61/100], transfer_loss: 0.1706, kl_loss: 1626.7976, vib_loss: 1.5062, total_Loss: 1.5915, acc: 0.9333
Epoch: [62/100], transfer_loss: 0.1712, kl_loss: 1626.1425, vib_loss: 1.4844, total_Loss: 1.5700, acc: 0.9358
Epoch: [63/100], transfer_loss: 0.1709, kl_loss: 1630.9782, vib_loss: 1.4919, total_Loss: 1.5773, acc: 0.9333
Epoch: [64/100], transfer_loss: 0.1720, kl_loss: 1586.2603, vib_loss: 1.5023, total_Loss: 1.5883, acc: 0.9333
Epoch: [65/100], transfer_loss: 0.1684, kl_loss: 1617.5266, vib_loss: 1.4706, total_Loss: 1.5548, acc: 0.9346
Epoch: [66/100], transfer_loss: 0.1701, kl_loss: 1614.5436, vib_loss: 1.4956, total_Loss: 1.5806, acc: 0.9371
Epoch: [67/100], transfer_loss: 0.1720, kl_loss: 1607.6953, vib_loss: 1.5097, total_Loss: 1.5957, acc: 0.9358
Epoch: [68/100], transfer_loss: 0.1697, kl_loss: 1595.2057, vib_loss: 1.5119, total_Loss: 1.5967, acc: 0.9321
Epoch: [69/100], transfer_loss: 0.1703, kl_loss: 1579.7640, vib_loss: 1.5300, total_Loss: 1.6151, acc: 0.9346
Epoch: [70/100], transfer_loss: 0.1702, kl_loss: 1603.4254, vib_loss: 1.5101, total_Loss: 1.5952, acc: 0.9346
Epoch: [71/100], transfer_loss: 0.1709, kl_loss: 1597.5172, vib_loss: 1.5021, total_Loss: 1.5876, acc: 0.9371
Epoch: [72/100], transfer_loss: 0.1704, kl_loss: 1602.5238, vib_loss: 1.4683, total_Loss: 1.5534, acc: 0.9358
Epoch: [73/100], transfer_loss: 0.1709, kl_loss: 1587.0094, vib_loss: 1.4698, total_Loss: 1.5552, acc: 0.9333
Epoch: [74/100], transfer_loss: 0.1718, kl_loss: 1575.9003, vib_loss: 1.4735, total_Loss: 1.5594, acc: 0.9409
Epoch: [75/100], transfer_loss: 0.1713, kl_loss: 1581.8939, vib_loss: 1.4956, total_Loss: 1.5813, acc: 0.9396
Epoch: [76/100], transfer_loss: 0.1691, kl_loss: 1571.6087, vib_loss: 1.4702, total_Loss: 1.5548, acc: 0.9371
Epoch: [77/100], transfer_loss: 0.1712, kl_loss: 1581.7196, vib_loss: 1.4639, total_Loss: 1.5494, acc: 0.9384
Epoch: [78/100], transfer_loss: 0.1720, kl_loss: 1575.9297, vib_loss: 1.4897, total_Loss: 1.5758, acc: 0.9346
Epoch: [79/100], transfer_loss: 0.1707, kl_loss: 1583.8423, vib_loss: 1.4695, total_Loss: 1.5549, acc: 0.9358
Epoch: [80/100], transfer_loss: 0.1681, kl_loss: 1585.4015, vib_loss: 1.4512, total_Loss: 1.5352, acc: 0.9346
Epoch: [81/100], transfer_loss: 0.1710, kl_loss: 1581.0220, vib_loss: 1.4628, total_Loss: 1.5483, acc: 0.9358
Epoch: [82/100], transfer_loss: 0.1728, kl_loss: 1562.5451, vib_loss: 1.4467, total_Loss: 1.5331, acc: 0.9371
Epoch: [83/100], transfer_loss: 0.1708, kl_loss: 1540.7559, vib_loss: 1.4512, total_Loss: 1.5366, acc: 0.9371
Epoch: [84/100], transfer_loss: 0.1698, kl_loss: 1561.2501, vib_loss: 1.4662, total_Loss: 1.5511, acc: 0.9358
Epoch: [85/100], transfer_loss: 0.1706, kl_loss: 1558.6778, vib_loss: 1.4521, total_Loss: 1.5374, acc: 0.9396
Epoch: [86/100], transfer_loss: 0.1729, kl_loss: 1552.8013, vib_loss: 1.4764, total_Loss: 1.5628, acc: 0.9371
Epoch: [87/100], transfer_loss: 0.1690, kl_loss: 1554.8262, vib_loss: 1.4496, total_Loss: 1.5341, acc: 0.9384
Epoch: [88/100], transfer_loss: 0.1698, kl_loss: 1552.9922, vib_loss: 1.4574, total_Loss: 1.5423, acc: 0.9371
Epoch: [89/100], transfer_loss: 0.1701, kl_loss: 1554.9147, vib_loss: 1.4548, total_Loss: 1.5398, acc: 0.9371
Epoch: [90/100], transfer_loss: 0.1702, kl_loss: 1534.9812, vib_loss: 1.4634, total_Loss: 1.5486, acc: 0.9396
Epoch: [91/100], transfer_loss: 0.1712, kl_loss: 1558.0795, vib_loss: 1.4618, total_Loss: 1.5474, acc: 0.9421
Epoch: [92/100], transfer_loss: 0.1706, kl_loss: 1522.5226, vib_loss: 1.4928, total_Loss: 1.5781, acc: 0.9409
Epoch: [93/100], transfer_loss: 0.1708, kl_loss: 1535.7356, vib_loss: 1.4512, total_Loss: 1.5366, acc: 0.9396
Epoch: [94/100], transfer_loss: 0.1681, kl_loss: 1524.9884, vib_loss: 1.4590, total_Loss: 1.5431, acc: 0.9371
Epoch: [95/100], transfer_loss: 0.1691, kl_loss: 1529.4148, vib_loss: 1.4562, total_Loss: 1.5408, acc: 0.9396
Epoch: [96/100], transfer_loss: 0.1731, kl_loss: 1534.3102, vib_loss: 1.4468, total_Loss: 1.5334, acc: 0.9396
Epoch: [97/100], transfer_loss: 0.1714, kl_loss: 1533.5325, vib_loss: 1.4639, total_Loss: 1.5496, acc: 0.9358
Epoch: [98/100], transfer_loss: 0.1735, kl_loss: 1554.5201, vib_loss: 1.4372, total_Loss: 1.5239, acc: 0.9384
Epoch: [99/100], transfer_loss: 0.1700, kl_loss: 1525.0571, vib_loss: 1.4627, total_Loss: 1.5477, acc: 0.9384
