Epoch: [00/100], transfer_loss: 0.1655, kl_loss: 2050.0246, vib_loss: 3.5456, total_Loss: 3.6283, acc: 0.5094
Epoch: [01/100], transfer_loss: 0.1646, kl_loss: 2089.6110, vib_loss: 2.5530, total_Loss: 2.6353, acc: 0.5676
Epoch: [02/100], transfer_loss: 0.1651, kl_loss: 2053.1378, vib_loss: 2.2691, total_Loss: 2.3517, acc: 0.5918
Epoch: [03/100], transfer_loss: 0.1660, kl_loss: 2043.1817, vib_loss: 2.1295, total_Loss: 2.2126, acc: 0.5989
Epoch: [04/100], transfer_loss: 0.1638, kl_loss: 1994.1296, vib_loss: 2.0529, total_Loss: 2.1349, acc: 0.6013
Epoch: [05/100], transfer_loss: 0.1642, kl_loss: 1975.4423, vib_loss: 1.9733, total_Loss: 2.0554, acc: 0.6081
Epoch: [06/100], transfer_loss: 0.1649, kl_loss: 1949.2956, vib_loss: 1.9513, total_Loss: 2.0337, acc: 0.6102
Epoch: [07/100], transfer_loss: 0.1662, kl_loss: 1930.2301, vib_loss: 1.8968, total_Loss: 1.9799, acc: 0.6163
Epoch: [08/100], transfer_loss: 0.1652, kl_loss: 1913.3798, vib_loss: 1.8914, total_Loss: 1.9740, acc: 0.6216
Epoch: [09/100], transfer_loss: 0.1656, kl_loss: 1904.2259, vib_loss: 1.8482, total_Loss: 1.9310, acc: 0.6155
Epoch: [10/100], transfer_loss: 0.1656, kl_loss: 1904.4187, vib_loss: 1.8106, total_Loss: 1.8934, acc: 0.6226
Epoch: [11/100], transfer_loss: 0.1645, kl_loss: 1881.1072, vib_loss: 1.8065, total_Loss: 1.8888, acc: 0.6212
Epoch: [12/100], transfer_loss: 0.1646, kl_loss: 1865.4028, vib_loss: 1.7741, total_Loss: 1.8564, acc: 0.6216
Epoch: [13/100], transfer_loss: 0.1657, kl_loss: 1834.1291, vib_loss: 1.7528, total_Loss: 1.8356, acc: 0.6180
Epoch: [14/100], transfer_loss: 0.1646, kl_loss: 1824.6714, vib_loss: 1.7811, total_Loss: 1.8634, acc: 0.6198
Epoch: [15/100], transfer_loss: 0.1651, kl_loss: 1823.5433, vib_loss: 1.7462, total_Loss: 1.8288, acc: 0.6248
Epoch: [16/100], transfer_loss: 0.1656, kl_loss: 1813.2968, vib_loss: 1.7216, total_Loss: 1.8044, acc: 0.6237
Epoch: [17/100], transfer_loss: 0.1644, kl_loss: 1806.5222, vib_loss: 1.7010, total_Loss: 1.7832, acc: 0.6223
Epoch: [18/100], transfer_loss: 0.1643, kl_loss: 1786.7703, vib_loss: 1.7219, total_Loss: 1.8040, acc: 0.6177
Epoch: [19/100], transfer_loss: 0.1671, kl_loss: 1788.1279, vib_loss: 1.6840, total_Loss: 1.7675, acc: 0.6202
Epoch: [20/100], transfer_loss: 0.1655, kl_loss: 1771.1691, vib_loss: 1.6866, total_Loss: 1.7694, acc: 0.6226
Epoch: [21/100], transfer_loss: 0.1665, kl_loss: 1770.5673, vib_loss: 1.6563, total_Loss: 1.7395, acc: 0.6280
Epoch: [22/100], transfer_loss: 0.1645, kl_loss: 1752.6048, vib_loss: 1.6860, total_Loss: 1.7683, acc: 0.6237
Epoch: [23/100], transfer_loss: 0.1656, kl_loss: 1755.0167, vib_loss: 1.6491, total_Loss: 1.7319, acc: 0.6305
Epoch: [24/100], transfer_loss: 0.1644, kl_loss: 1742.4544, vib_loss: 1.6681, total_Loss: 1.7503, acc: 0.6251
Epoch: [25/100], transfer_loss: 0.1647, kl_loss: 1734.2235, vib_loss: 1.6319, total_Loss: 1.7143, acc: 0.6322
Epoch: [26/100], transfer_loss: 0.1648, kl_loss: 1724.5397, vib_loss: 1.6531, total_Loss: 1.7355, acc: 0.6294
Epoch: [27/100], transfer_loss: 0.1641, kl_loss: 1701.3467, vib_loss: 1.6308, total_Loss: 1.7129, acc: 0.6205
Epoch: [28/100], transfer_loss: 0.1651, kl_loss: 1707.3968, vib_loss: 1.6072, total_Loss: 1.6897, acc: 0.6294
Epoch: [29/100], transfer_loss: 0.1643, kl_loss: 1698.9129, vib_loss: 1.6347, total_Loss: 1.7169, acc: 0.6251
Epoch: [30/100], transfer_loss: 0.1660, kl_loss: 1711.1674, vib_loss: 1.6176, total_Loss: 1.7006, acc: 0.6262
Epoch: [31/100], transfer_loss: 0.1632, kl_loss: 1684.3731, vib_loss: 1.6246, total_Loss: 1.7062, acc: 0.6244
Epoch: [32/100], transfer_loss: 0.1643, kl_loss: 1688.7509, vib_loss: 1.5968, total_Loss: 1.6790, acc: 0.6290
Epoch: [33/100], transfer_loss: 0.1662, kl_loss: 1685.4636, vib_loss: 1.5843, total_Loss: 1.6674, acc: 0.6276
Epoch: [34/100], transfer_loss: 0.1647, kl_loss: 1675.2524, vib_loss: 1.5993, total_Loss: 1.6816, acc: 0.6297
Epoch: [35/100], transfer_loss: 0.1664, kl_loss: 1656.5380, vib_loss: 1.5821, total_Loss: 1.6653, acc: 0.6315
Epoch: [36/100], transfer_loss: 0.1646, kl_loss: 1669.3634, vib_loss: 1.5916, total_Loss: 1.6739, acc: 0.6344
Epoch: [37/100], transfer_loss: 0.1652, kl_loss: 1669.7360, vib_loss: 1.5588, total_Loss: 1.6415, acc: 0.6262
Epoch: [38/100], transfer_loss: 0.1674, kl_loss: 1668.6632, vib_loss: 1.5594, total_Loss: 1.6431, acc: 0.6266
Epoch: [39/100], transfer_loss: 0.1657, kl_loss: 1647.6953, vib_loss: 1.5555, total_Loss: 1.6383, acc: 0.6241
Epoch: [40/100], transfer_loss: 0.1656, kl_loss: 1636.7065, vib_loss: 1.6024, total_Loss: 1.6852, acc: 0.6273
Epoch: [41/100], transfer_loss: 0.1647, kl_loss: 1651.3817, vib_loss: 1.5551, total_Loss: 1.6375, acc: 0.6305
Epoch: [42/100], transfer_loss: 0.1638, kl_loss: 1650.2900, vib_loss: 1.5980, total_Loss: 1.6799, acc: 0.6287
Epoch: [43/100], transfer_loss: 0.1656, kl_loss: 1623.5425, vib_loss: 1.5487, total_Loss: 1.6315, acc: 0.6230
Epoch: [44/100], transfer_loss: 0.1654, kl_loss: 1616.8810, vib_loss: 1.5630, total_Loss: 1.6457, acc: 0.6219
Epoch: [45/100], transfer_loss: 0.1659, kl_loss: 1617.1581, vib_loss: 1.5593, total_Loss: 1.6422, acc: 0.6297
Epoch: [46/100], transfer_loss: 0.1661, kl_loss: 1614.2023, vib_loss: 1.5663, total_Loss: 1.6493, acc: 0.6258
Epoch: [47/100], transfer_loss: 0.1642, kl_loss: 1612.8658, vib_loss: 1.5735, total_Loss: 1.6556, acc: 0.6209
Epoch: [48/100], transfer_loss: 0.1645, kl_loss: 1616.4164, vib_loss: 1.5519, total_Loss: 1.6342, acc: 0.6283
Epoch: [49/100], transfer_loss: 0.1657, kl_loss: 1598.2947, vib_loss: 1.5441, total_Loss: 1.6270, acc: 0.6234
Epoch: [50/100], transfer_loss: 0.1657, kl_loss: 1604.2818, vib_loss: 1.5323, total_Loss: 1.6151, acc: 0.6205
Epoch: [51/100], transfer_loss: 0.1653, kl_loss: 1597.4266, vib_loss: 1.5178, total_Loss: 1.6005, acc: 0.6255
Epoch: [52/100], transfer_loss: 0.1666, kl_loss: 1606.5638, vib_loss: 1.5349, total_Loss: 1.6183, acc: 0.6223
Epoch: [53/100], transfer_loss: 0.1665, kl_loss: 1598.4970, vib_loss: 1.5428, total_Loss: 1.6260, acc: 0.6280
Epoch: [54/100], transfer_loss: 0.1657, kl_loss: 1586.6849, vib_loss: 1.5429, total_Loss: 1.6257, acc: 0.6241
Epoch: [55/100], transfer_loss: 0.1664, kl_loss: 1588.3447, vib_loss: 1.5256, total_Loss: 1.6088, acc: 0.6337
Epoch: [56/100], transfer_loss: 0.1653, kl_loss: 1586.6362, vib_loss: 1.5175, total_Loss: 1.6002, acc: 0.6283
Epoch: [57/100], transfer_loss: 0.1647, kl_loss: 1572.4283, vib_loss: 1.5536, total_Loss: 1.6359, acc: 0.6273
Epoch: [58/100], transfer_loss: 0.1658, kl_loss: 1577.9272, vib_loss: 1.5105, total_Loss: 1.5934, acc: 0.6283
Epoch: [59/100], transfer_loss: 0.1656, kl_loss: 1576.1073, vib_loss: 1.5127, total_Loss: 1.5956, acc: 0.6301
Epoch: [60/100], transfer_loss: 0.1635, kl_loss: 1575.7196, vib_loss: 1.5254, total_Loss: 1.6072, acc: 0.6283
Epoch: [61/100], transfer_loss: 0.1645, kl_loss: 1562.7361, vib_loss: 1.5290, total_Loss: 1.6113, acc: 0.6297
Epoch: [62/100], transfer_loss: 0.1652, kl_loss: 1573.9451, vib_loss: 1.5064, total_Loss: 1.5890, acc: 0.6255
Epoch: [63/100], transfer_loss: 0.1681, kl_loss: 1563.2903, vib_loss: 1.4976, total_Loss: 1.5816, acc: 0.6337
Epoch: [64/100], transfer_loss: 0.1669, kl_loss: 1565.8987, vib_loss: 1.5034, total_Loss: 1.5869, acc: 0.6301
Epoch: [65/100], transfer_loss: 0.1651, kl_loss: 1564.4136, vib_loss: 1.4995, total_Loss: 1.5820, acc: 0.6287
Epoch: [66/100], transfer_loss: 0.1653, kl_loss: 1556.0126, vib_loss: 1.5043, total_Loss: 1.5869, acc: 0.6290
Epoch: [67/100], transfer_loss: 0.1659, kl_loss: 1552.1043, vib_loss: 1.4999, total_Loss: 1.5828, acc: 0.6322
Epoch: [68/100], transfer_loss: 0.1659, kl_loss: 1564.9931, vib_loss: 1.4803, total_Loss: 1.5633, acc: 0.6269
Epoch: [69/100], transfer_loss: 0.1655, kl_loss: 1542.5915, vib_loss: 1.5083, total_Loss: 1.5911, acc: 0.6273
Epoch: [70/100], transfer_loss: 0.1666, kl_loss: 1551.3208, vib_loss: 1.4873, total_Loss: 1.5706, acc: 0.6248
Epoch: [71/100], transfer_loss: 0.1648, kl_loss: 1536.7818, vib_loss: 1.4853, total_Loss: 1.5677, acc: 0.6234
Epoch: [72/100], transfer_loss: 0.1633, kl_loss: 1528.2540, vib_loss: 1.5121, total_Loss: 1.5938, acc: 0.6262
Epoch: [73/100], transfer_loss: 0.1652, kl_loss: 1538.7088, vib_loss: 1.5055, total_Loss: 1.5881, acc: 0.6248
Epoch: [74/100], transfer_loss: 0.1658, kl_loss: 1537.5068, vib_loss: 1.4897, total_Loss: 1.5726, acc: 0.6248
Epoch: [75/100], transfer_loss: 0.1674, kl_loss: 1536.3313, vib_loss: 1.4805, total_Loss: 1.5642, acc: 0.6187
Epoch: [76/100], transfer_loss: 0.1657, kl_loss: 1521.7141, vib_loss: 1.4833, total_Loss: 1.5661, acc: 0.6237
Epoch: [77/100], transfer_loss: 0.1655, kl_loss: 1531.8541, vib_loss: 1.4785, total_Loss: 1.5613, acc: 0.6212
Epoch: [78/100], transfer_loss: 0.1657, kl_loss: 1523.6749, vib_loss: 1.4753, total_Loss: 1.5581, acc: 0.6287
Epoch: [79/100], transfer_loss: 0.1664, kl_loss: 1530.2523, vib_loss: 1.4793, total_Loss: 1.5625, acc: 0.6283
Epoch: [80/100], transfer_loss: 0.1665, kl_loss: 1516.5557, vib_loss: 1.4709, total_Loss: 1.5542, acc: 0.6241
Epoch: [81/100], transfer_loss: 0.1640, kl_loss: 1502.7105, vib_loss: 1.5118, total_Loss: 1.5938, acc: 0.6258
Epoch: [82/100], transfer_loss: 0.1663, kl_loss: 1529.7945, vib_loss: 1.4957, total_Loss: 1.5789, acc: 0.6223
Epoch: [83/100], transfer_loss: 0.1652, kl_loss: 1520.0619, vib_loss: 1.4942, total_Loss: 1.5768, acc: 0.6216
Epoch: [84/100], transfer_loss: 0.1669, kl_loss: 1509.3256, vib_loss: 1.4841, total_Loss: 1.5675, acc: 0.6273
Epoch: [85/100], transfer_loss: 0.1669, kl_loss: 1516.0758, vib_loss: 1.4988, total_Loss: 1.5822, acc: 0.6258
Epoch: [86/100], transfer_loss: 0.1665, kl_loss: 1522.4908, vib_loss: 1.4506, total_Loss: 1.5339, acc: 0.6258
Epoch: [87/100], transfer_loss: 0.1658, kl_loss: 1520.9944, vib_loss: 1.4898, total_Loss: 1.5727, acc: 0.6266
Epoch: [88/100], transfer_loss: 0.1658, kl_loss: 1508.3812, vib_loss: 1.4790, total_Loss: 1.5619, acc: 0.6255
Epoch: [89/100], transfer_loss: 0.1675, kl_loss: 1517.3415, vib_loss: 1.4664, total_Loss: 1.5502, acc: 0.6301
Epoch: [90/100], transfer_loss: 0.1676, kl_loss: 1506.0049, vib_loss: 1.4632, total_Loss: 1.5470, acc: 0.6195
Epoch: [91/100], transfer_loss: 0.1656, kl_loss: 1511.9131, vib_loss: 1.4627, total_Loss: 1.5455, acc: 0.6216
Epoch: [92/100], transfer_loss: 0.1647, kl_loss: 1502.2478, vib_loss: 1.4469, total_Loss: 1.5292, acc: 0.6248
Epoch: [93/100], transfer_loss: 0.1636, kl_loss: 1489.2938, vib_loss: 1.4822, total_Loss: 1.5640, acc: 0.6219
Epoch: [94/100], transfer_loss: 0.1667, kl_loss: 1495.1759, vib_loss: 1.4447, total_Loss: 1.5281, acc: 0.6212
Epoch: [95/100], transfer_loss: 0.1658, kl_loss: 1504.5362, vib_loss: 1.4619, total_Loss: 1.5448, acc: 0.6226
Epoch: [96/100], transfer_loss: 0.1672, kl_loss: 1496.8108, vib_loss: 1.4770, total_Loss: 1.5606, acc: 0.6262
Epoch: [97/100], transfer_loss: 0.1665, kl_loss: 1479.6746, vib_loss: 1.4796, total_Loss: 1.5629, acc: 0.6241
Epoch: [98/100], transfer_loss: 0.1647, kl_loss: 1502.4030, vib_loss: 1.4742, total_Loss: 1.5566, acc: 0.6223
Epoch: [99/100], transfer_loss: 0.1658, kl_loss: 1476.5460, vib_loss: 1.4719, total_Loss: 1.5548, acc: 0.6276
