Epoch: [00/100], cls_loss: 3.4294, transfer_loss: 0.1641, total_Loss: 3.5115, acc: 0.0830
Epoch: [01/100], cls_loss: 3.3852, transfer_loss: 0.1634, total_Loss: 3.4669, acc: 0.1371
Epoch: [02/100], cls_loss: 3.3483, transfer_loss: 0.1640, total_Loss: 3.4303, acc: 0.1723
Epoch: [03/100], cls_loss: 3.3138, transfer_loss: 0.1628, total_Loss: 3.3952, acc: 0.2654
Epoch: [04/100], cls_loss: 3.2724, transfer_loss: 0.1636, total_Loss: 3.3542, acc: 0.2969
Epoch: [05/100], cls_loss: 3.2298, transfer_loss: 0.1630, total_Loss: 3.3113, acc: 0.2667
Epoch: [06/100], cls_loss: 3.1623, transfer_loss: 0.1627, total_Loss: 3.2437, acc: 0.3925
Epoch: [07/100], cls_loss: 3.0926, transfer_loss: 0.1627, total_Loss: 3.1739, acc: 0.4340
Epoch: [08/100], cls_loss: 3.0249, transfer_loss: 0.1644, total_Loss: 3.1071, acc: 0.5107
Epoch: [09/100], cls_loss: 2.9402, transfer_loss: 0.1623, total_Loss: 3.0214, acc: 0.3950
Epoch: [10/100], cls_loss: 2.7970, transfer_loss: 0.1628, total_Loss: 2.8784, acc: 0.4818
Epoch: [11/100], cls_loss: 2.7232, transfer_loss: 0.1634, total_Loss: 2.8049, acc: 0.5358
Epoch: [12/100], cls_loss: 2.6320, transfer_loss: 0.1631, total_Loss: 2.7136, acc: 0.5421
Epoch: [13/100], cls_loss: 2.5247, transfer_loss: 0.1635, total_Loss: 2.6064, acc: 0.5711
Epoch: [14/100], cls_loss: 2.3692, transfer_loss: 0.1636, total_Loss: 2.4510, acc: 0.6113
Epoch: [15/100], cls_loss: 2.2113, transfer_loss: 0.1633, total_Loss: 2.2930, acc: 0.6264
Epoch: [16/100], cls_loss: 2.0829, transfer_loss: 0.1625, total_Loss: 2.1642, acc: 0.5987
Epoch: [17/100], cls_loss: 2.0242, transfer_loss: 0.1638, total_Loss: 2.1061, acc: 0.6239
