Epoch: [00/100], cls_loss: 3.4270, transfer_loss: 0.1654, total_Loss: 3.5096, acc: 0.0373
Epoch: [01/100], cls_loss: 3.3801, transfer_loss: 0.1663, total_Loss: 3.4633, acc: 0.0508
Epoch: [02/100], cls_loss: 3.3247, transfer_loss: 0.1661, total_Loss: 3.4078, acc: 0.0550
Epoch: [03/100], cls_loss: 3.2643, transfer_loss: 0.1661, total_Loss: 3.3473, acc: 0.0866
Epoch: [04/100], cls_loss: 3.2080, transfer_loss: 0.1664, total_Loss: 3.2911, acc: 0.0880
Epoch: [05/100], cls_loss: 3.1603, transfer_loss: 0.1679, total_Loss: 3.2442, acc: 0.1147
Epoch: [06/100], cls_loss: 3.0959, transfer_loss: 0.1640, total_Loss: 3.1780, acc: 0.1360
Epoch: [07/100], cls_loss: 3.0198, transfer_loss: 0.1656, total_Loss: 3.1026, acc: 0.1363
Epoch: [08/100], cls_loss: 2.9456, transfer_loss: 0.1661, total_Loss: 3.0286, acc: 0.1679
Epoch: [09/100], cls_loss: 2.8597, transfer_loss: 0.1673, total_Loss: 2.9434, acc: 0.1782
Epoch: [10/100], cls_loss: 2.7631, transfer_loss: 0.1652, total_Loss: 2.8457, acc: 0.2226
Epoch: [11/100], cls_loss: 2.6590, transfer_loss: 0.1662, total_Loss: 2.7421, acc: 0.2059
Epoch: [12/100], cls_loss: 2.5624, transfer_loss: 0.1661, total_Loss: 2.6455, acc: 0.2176
Epoch: [13/100], cls_loss: 2.4502, transfer_loss: 0.1654, total_Loss: 2.5329, acc: 0.2449
Epoch: [14/100], cls_loss: 2.3415, transfer_loss: 0.1658, total_Loss: 2.4244, acc: 0.2638
Epoch: [15/100], cls_loss: 2.2185, transfer_loss: 0.1658, total_Loss: 2.3014, acc: 0.2801
Epoch: [16/100], cls_loss: 2.1046, transfer_loss: 0.1644, total_Loss: 2.1868, acc: 0.3042
Epoch: [17/100], cls_loss: 2.0003, transfer_loss: 0.1679, total_Loss: 2.0842, acc: 0.3316
Epoch: [18/100], cls_loss: 1.8408, transfer_loss: 0.1665, total_Loss: 1.9241, acc: 0.3493
Epoch: [19/100], cls_loss: 1.7075, transfer_loss: 0.1656, total_Loss: 1.7904, acc: 0.3919
Epoch: [20/100], cls_loss: 1.6501, transfer_loss: 0.1654, total_Loss: 1.7328, acc: 0.4086
Epoch: [21/100], cls_loss: 1.4762, transfer_loss: 0.1662, total_Loss: 1.5593, acc: 0.4178
Epoch: [22/100], cls_loss: 1.3946, transfer_loss: 0.1664, total_Loss: 1.4778, acc: 0.4487
