Epoch: [00/100], cls_loss: 3.4253, transfer_loss: 0.1670, total_Loss: 3.5088, acc: 0.0642
Epoch: [01/100], cls_loss: 3.3699, transfer_loss: 0.1673, total_Loss: 3.4535, acc: 0.0843
Epoch: [02/100], cls_loss: 3.3122, transfer_loss: 0.1657, total_Loss: 3.3950, acc: 0.1547
Epoch: [03/100], cls_loss: 3.2470, transfer_loss: 0.1687, total_Loss: 3.3314, acc: 0.1585
Epoch: [04/100], cls_loss: 3.2022, transfer_loss: 0.1665, total_Loss: 3.2855, acc: 0.1698
Epoch: [05/100], cls_loss: 3.1384, transfer_loss: 0.1653, total_Loss: 3.2211, acc: 0.1849
Epoch: [06/100], cls_loss: 3.0776, transfer_loss: 0.1656, total_Loss: 3.1604, acc: 0.2377
Epoch: [07/100], cls_loss: 3.0356, transfer_loss: 0.1681, total_Loss: 3.1196, acc: 0.2491
Epoch: [08/100], cls_loss: 2.9326, transfer_loss: 0.1691, total_Loss: 3.0172, acc: 0.2755
Epoch: [09/100], cls_loss: 2.8548, transfer_loss: 0.1680, total_Loss: 2.9388, acc: 0.3308
Epoch: [10/100], cls_loss: 2.7633, transfer_loss: 0.1675, total_Loss: 2.8470, acc: 0.3824
Epoch: [11/100], cls_loss: 2.6728, transfer_loss: 0.1671, total_Loss: 2.7563, acc: 0.3799
Epoch: [12/100], cls_loss: 2.5520, transfer_loss: 0.1675, total_Loss: 2.6358, acc: 0.4000
Epoch: [13/100], cls_loss: 2.4441, transfer_loss: 0.1679, total_Loss: 2.5280, acc: 0.4491
Epoch: [14/100], cls_loss: 2.3449, transfer_loss: 0.1672, total_Loss: 2.4285, acc: 0.4654
Epoch: [15/100], cls_loss: 2.2231, transfer_loss: 0.1683, total_Loss: 2.3072, acc: 0.5245
Epoch: [16/100], cls_loss: 2.0973, transfer_loss: 0.1667, total_Loss: 2.1807, acc: 0.5472
Epoch: [17/100], cls_loss: 1.9649, transfer_loss: 0.1661, total_Loss: 2.0479, acc: 0.5761
Epoch: [18/100], cls_loss: 1.8609, transfer_loss: 0.1682, total_Loss: 1.9450, acc: 0.6289
Epoch: [19/100], cls_loss: 1.7173, transfer_loss: 0.1674, total_Loss: 1.8010, acc: 0.6252
Epoch: [20/100], cls_loss: 1.6066, transfer_loss: 0.1660, total_Loss: 1.6896, acc: 0.6667
Epoch: [21/100], cls_loss: 1.4907, transfer_loss: 0.1661, total_Loss: 1.5737, acc: 0.7019
Epoch: [22/100], cls_loss: 1.3648, transfer_loss: 0.1679, total_Loss: 1.4488, acc: 0.7145
Epoch: [23/100], cls_loss: 1.3057, transfer_loss: 0.1669, total_Loss: 1.3891, acc: 0.7270
Epoch: [24/100], cls_loss: 1.2427, transfer_loss: 0.1663, total_Loss: 1.3259, acc: 0.7522
Epoch: [25/100], cls_loss: 1.1469, transfer_loss: 0.1679, total_Loss: 1.2309, acc: 0.7748
Epoch: [26/100], cls_loss: 1.0417, transfer_loss: 0.1662, total_Loss: 1.1248, acc: 0.8000
Epoch: [27/100], cls_loss: 0.9501, transfer_loss: 0.1684, total_Loss: 1.0342, acc: 0.8025
Epoch: [28/100], cls_loss: 0.9170, transfer_loss: 0.1666, total_Loss: 1.0002, acc: 0.8189
Epoch: [29/100], cls_loss: 0.8598, transfer_loss: 0.1658, total_Loss: 0.9427, acc: 0.8314
Epoch: [30/100], cls_loss: 0.8275, transfer_loss: 0.1668, total_Loss: 0.9110, acc: 0.8352
Epoch: [31/100], cls_loss: 0.7424, transfer_loss: 0.1671, total_Loss: 0.8260, acc: 0.8352
Epoch: [32/100], cls_loss: 0.6974, transfer_loss: 0.1669, total_Loss: 0.7808, acc: 0.8465
Epoch: [33/100], cls_loss: 0.7325, transfer_loss: 0.1667, total_Loss: 0.8159, acc: 0.8604
Epoch: [34/100], cls_loss: 0.6807, transfer_loss: 0.1677, total_Loss: 0.7645, acc: 0.8730
Epoch: [35/100], cls_loss: 0.6416, transfer_loss: 0.1667, total_Loss: 0.7250, acc: 0.8792
Epoch: [36/100], cls_loss: 0.6250, transfer_loss: 0.1679, total_Loss: 0.7090, acc: 0.8792
Epoch: [37/100], cls_loss: 0.5580, transfer_loss: 0.1660, total_Loss: 0.6410, acc: 0.8843
Epoch: [38/100], cls_loss: 0.5305, transfer_loss: 0.1663, total_Loss: 0.6136, acc: 0.8742
Epoch: [39/100], cls_loss: 0.4776, transfer_loss: 0.1648, total_Loss: 0.5600, acc: 0.8931
Epoch: [40/100], cls_loss: 0.5317, transfer_loss: 0.1645, total_Loss: 0.6140, acc: 0.8906
Epoch: [41/100], cls_loss: 0.4624, transfer_loss: 0.1655, total_Loss: 0.5452, acc: 0.8881
Epoch: [42/100], cls_loss: 0.4577, transfer_loss: 0.1657, total_Loss: 0.5406, acc: 0.8956
