Epoch: [00/100], cls_loss: 3.4222, transfer_loss: 0.1633, total_Loss: 3.5039, acc: 0.0554
Epoch: [01/100], cls_loss: 3.3490, transfer_loss: 0.1638, total_Loss: 3.4309, acc: 0.0820
Epoch: [02/100], cls_loss: 3.2878, transfer_loss: 0.1637, total_Loss: 3.3696, acc: 0.0781
Epoch: [03/100], cls_loss: 3.2176, transfer_loss: 0.1630, total_Loss: 3.2991, acc: 0.1093
Epoch: [04/100], cls_loss: 3.1417, transfer_loss: 0.1622, total_Loss: 3.2228, acc: 0.1658
Epoch: [05/100], cls_loss: 3.0564, transfer_loss: 0.1632, total_Loss: 3.1380, acc: 0.2400
Epoch: [06/100], cls_loss: 2.9310, transfer_loss: 0.1612, total_Loss: 3.0116, acc: 0.2691
Epoch: [07/100], cls_loss: 2.8249, transfer_loss: 0.1623, total_Loss: 2.9061, acc: 0.3436
Epoch: [08/100], cls_loss: 2.6723, transfer_loss: 0.1627, total_Loss: 2.7537, acc: 0.3603
Epoch: [09/100], cls_loss: 2.5132, transfer_loss: 0.1617, total_Loss: 2.5940, acc: 0.3997
Epoch: [10/100], cls_loss: 2.3456, transfer_loss: 0.1622, total_Loss: 2.4267, acc: 0.4373
Epoch: [11/100], cls_loss: 2.1649, transfer_loss: 0.1633, total_Loss: 2.2466, acc: 0.4469
Epoch: [12/100], cls_loss: 1.9797, transfer_loss: 0.1627, total_Loss: 2.0611, acc: 0.4739
Epoch: [13/100], cls_loss: 1.8173, transfer_loss: 0.1636, total_Loss: 1.8991, acc: 0.4767
Epoch: [14/100], cls_loss: 1.6332, transfer_loss: 0.1629, total_Loss: 1.7147, acc: 0.4927
Epoch: [15/100], cls_loss: 1.5100, transfer_loss: 0.1626, total_Loss: 1.5913, acc: 0.5158
Epoch: [16/100], cls_loss: 1.3373, transfer_loss: 0.1636, total_Loss: 1.4191, acc: 0.5158
Epoch: [17/100], cls_loss: 1.2384, transfer_loss: 0.1611, total_Loss: 1.3189, acc: 0.5282
Epoch: [18/100], cls_loss: 1.1209, transfer_loss: 0.1627, total_Loss: 1.2022, acc: 0.5360
Epoch: [19/100], cls_loss: 1.0346, transfer_loss: 0.1613, total_Loss: 1.1153, acc: 0.5485
Epoch: [20/100], cls_loss: 0.9629, transfer_loss: 0.1624, total_Loss: 1.0441, acc: 0.5531
Epoch: [21/100], cls_loss: 0.8639, transfer_loss: 0.1636, total_Loss: 0.9457, acc: 0.5570
Epoch: [22/100], cls_loss: 0.8389, transfer_loss: 0.1622, total_Loss: 0.9200, acc: 0.5591
Epoch: [23/100], cls_loss: 0.7607, transfer_loss: 0.1618, total_Loss: 0.8416, acc: 0.5612
Epoch: [24/100], cls_loss: 0.6509, transfer_loss: 0.1637, total_Loss: 0.7328, acc: 0.5783
Epoch: [25/100], cls_loss: 0.6974, transfer_loss: 0.1617, total_Loss: 0.7783, acc: 0.5680
Epoch: [26/100], cls_loss: 0.6147, transfer_loss: 0.1611, total_Loss: 0.6952, acc: 0.5808
Epoch: [27/100], cls_loss: 0.5604, transfer_loss: 0.1616, total_Loss: 0.6412, acc: 0.5896
Epoch: [28/100], cls_loss: 0.5596, transfer_loss: 0.1614, total_Loss: 0.6403, acc: 0.5914
Epoch: [29/100], cls_loss: 0.5359, transfer_loss: 0.1618, total_Loss: 0.6168, acc: 0.6003
Epoch: [30/100], cls_loss: 0.4979, transfer_loss: 0.1595, total_Loss: 0.5777, acc: 0.5893
Epoch: [31/100], cls_loss: 0.4418, transfer_loss: 0.1603, total_Loss: 0.5219, acc: 0.5918
Epoch: [32/100], cls_loss: 0.4253, transfer_loss: 0.1599, total_Loss: 0.5052, acc: 0.5942
Epoch: [33/100], cls_loss: 0.4200, transfer_loss: 0.1589, total_Loss: 0.4994, acc: 0.6049
Epoch: [34/100], cls_loss: 0.4464, transfer_loss: 0.1575, total_Loss: 0.5252, acc: 0.6045
Epoch: [35/100], cls_loss: 0.3961, transfer_loss: 0.1573, total_Loss: 0.4747, acc: 0.5953
Epoch: [36/100], cls_loss: 0.3819, transfer_loss: 0.1557, total_Loss: 0.4598, acc: 0.6021
Epoch: [37/100], cls_loss: 0.3356, transfer_loss: 0.1569, total_Loss: 0.4141, acc: 0.5950
Epoch: [38/100], cls_loss: 0.3691, transfer_loss: 0.1565, total_Loss: 0.4473, acc: 0.6028
Epoch: [39/100], cls_loss: 0.3468, transfer_loss: 0.1527, total_Loss: 0.4232, acc: 0.6102
Epoch: [40/100], cls_loss: 0.3142, transfer_loss: 0.1512, total_Loss: 0.3898, acc: 0.6088
Epoch: [41/100], cls_loss: 0.3130, transfer_loss: 0.1485, total_Loss: 0.3872, acc: 0.6028
Epoch: [42/100], cls_loss: 0.2701, transfer_loss: 0.1472, total_Loss: 0.3437, acc: 0.5861
Epoch: [43/100], cls_loss: 0.2595, transfer_loss: 0.1463, total_Loss: 0.3327, acc: 0.6049
Epoch: [44/100], cls_loss: 0.3194, transfer_loss: 0.1442, total_Loss: 0.3915, acc: 0.6106
