Epoch: [00/100], transfer_loss: 0.1674, kl_loss: 2124.1695, vib_loss: 3.9519, total_Loss: 4.0356, acc: 0.4480
Epoch: [01/100], transfer_loss: 0.1671, kl_loss: 2173.8404, vib_loss: 2.6876, total_Loss: 2.7711, acc: 0.5719
Epoch: [02/100], transfer_loss: 0.1663, kl_loss: 2165.9770, vib_loss: 2.4136, total_Loss: 2.4967, acc: 0.6045
Epoch: [03/100], transfer_loss: 0.1685, kl_loss: 2124.8727, vib_loss: 2.2408, total_Loss: 2.3250, acc: 0.6177
Epoch: [04/100], transfer_loss: 0.1692, kl_loss: 2124.8639, vib_loss: 2.1151, total_Loss: 2.1997, acc: 0.6230
Epoch: [05/100], transfer_loss: 0.1704, kl_loss: 2100.9855, vib_loss: 2.0817, total_Loss: 2.1669, acc: 0.6315
Epoch: [06/100], transfer_loss: 0.1685, kl_loss: 2057.6909, vib_loss: 2.0045, total_Loss: 2.0888, acc: 0.6301
Epoch: [07/100], transfer_loss: 0.1692, kl_loss: 2038.9742, vib_loss: 1.9614, total_Loss: 2.0460, acc: 0.6301
Epoch: [08/100], transfer_loss: 0.1667, kl_loss: 2030.5589, vib_loss: 1.9459, total_Loss: 2.0292, acc: 0.6308
Epoch: [09/100], transfer_loss: 0.1711, kl_loss: 2010.1562, vib_loss: 1.9064, total_Loss: 1.9919, acc: 0.6273
Epoch: [10/100], transfer_loss: 0.1697, kl_loss: 1997.8032, vib_loss: 1.8862, total_Loss: 1.9710, acc: 0.6262
Epoch: [11/100], transfer_loss: 0.1703, kl_loss: 1959.4125, vib_loss: 1.8616, total_Loss: 1.9467, acc: 0.6308
Epoch: [12/100], transfer_loss: 0.1677, kl_loss: 1980.5707, vib_loss: 1.8507, total_Loss: 1.9346, acc: 0.6411
Epoch: [13/100], transfer_loss: 0.1669, kl_loss: 1968.6075, vib_loss: 1.8617, total_Loss: 1.9451, acc: 0.6386
Epoch: [14/100], transfer_loss: 0.1686, kl_loss: 1967.2811, vib_loss: 1.8313, total_Loss: 1.9156, acc: 0.6393
Epoch: [15/100], transfer_loss: 0.1667, kl_loss: 1956.5327, vib_loss: 1.8295, total_Loss: 1.9129, acc: 0.6368
Epoch: [16/100], transfer_loss: 0.1676, kl_loss: 1936.0885, vib_loss: 1.8037, total_Loss: 1.8875, acc: 0.6361
Epoch: [17/100], transfer_loss: 0.1692, kl_loss: 1911.8180, vib_loss: 1.7857, total_Loss: 1.8703, acc: 0.6358
Epoch: [18/100], transfer_loss: 0.1683, kl_loss: 1896.4156, vib_loss: 1.7560, total_Loss: 1.8402, acc: 0.6408
Epoch: [19/100], transfer_loss: 0.1682, kl_loss: 1897.6005, vib_loss: 1.7691, total_Loss: 1.8532, acc: 0.6358
Epoch: [20/100], transfer_loss: 0.1708, kl_loss: 1884.3234, vib_loss: 1.7670, total_Loss: 1.8524, acc: 0.6386
Epoch: [21/100], transfer_loss: 0.1679, kl_loss: 1886.8627, vib_loss: 1.7306, total_Loss: 1.8146, acc: 0.6365
Epoch: [22/100], transfer_loss: 0.1664, kl_loss: 1879.2128, vib_loss: 1.7561, total_Loss: 1.8393, acc: 0.6361
Epoch: [23/100], transfer_loss: 0.1682, kl_loss: 1866.1172, vib_loss: 1.7459, total_Loss: 1.8300, acc: 0.6429
Epoch: [24/100], transfer_loss: 0.1693, kl_loss: 1871.6256, vib_loss: 1.6900, total_Loss: 1.7746, acc: 0.6368
Epoch: [25/100], transfer_loss: 0.1670, kl_loss: 1858.4302, vib_loss: 1.6952, total_Loss: 1.7787, acc: 0.6386
Epoch: [26/100], transfer_loss: 0.1687, kl_loss: 1848.5553, vib_loss: 1.7112, total_Loss: 1.7955, acc: 0.6404
Epoch: [27/100], transfer_loss: 0.1670, kl_loss: 1847.6730, vib_loss: 1.6953, total_Loss: 1.7788, acc: 0.6432
Epoch: [28/100], transfer_loss: 0.1678, kl_loss: 1826.5664, vib_loss: 1.6964, total_Loss: 1.7803, acc: 0.6454
Epoch: [29/100], transfer_loss: 0.1667, kl_loss: 1838.9349, vib_loss: 1.6640, total_Loss: 1.7473, acc: 0.6408
Epoch: [30/100], transfer_loss: 0.1665, kl_loss: 1803.5130, vib_loss: 1.6726, total_Loss: 1.7559, acc: 0.6482
